V1	V2	V3
X4_6_11	11.6981283480702	8.27597465657728	-17.8531288755026
X4_11_12	11.8469084034899	10.5341612708543	-11.8142807786707
X4_7_12	12.2298275901135	5.67408812714486	-23.2785088353401
X4_7_13	9.30810881150876	8.8665645397389	-13.620353143715
X4_13_13	13.308582781044	8.01459693077384	-16.3559973643845
X4_25_14	14.992188266607	7.58741458688086	-20.4208333686416
X4_4_14	6.41771437900617	3.38185989953915	-5.90963830941866
X4_5_14	6.24354792978426	8.1973852235532	-12.0640005194702
X4_11_15	9.32602957575708	5.60511218545456	-7.43156735222712
X4_26_15	9.17929075782237	11.4014909253757	-11.2151485208807
X4_5_15	15.0468294124932	6.57526695460858	-23.213699685981
X4_5_16	14.2090927808235	4.80607005425614	-23.665471003391
X4_11_17	10.5530305875583	9.57955471692772	-10.1340300695542
X4_11_18	9.20420284214053	8.24213975045033	-8.44801240422736
X4_5_19	13.8427780822157	5.97742648274324	-23.4203324369499
X4_10_20	-1.68028311412646	-1.44301298268442	8.44293297892032
X4_25_20	10.5521311143891	10.2098197509749	-13.2310817342595
X4_23_21	9.66993591956475	7.87827681552075	-11.1237799168547
X4_22_22	7.85207817625	11.5204948790762	-10.1126776935708
X4_23_22	6.64677955064899	2.33071484710604	-4.60495435542089
X4_22_23	10.7572664301037	9.89629266758954	-9.91668317210767
X4_16_23	12.3840452367747	5.10199959069236	-22.3049649281639
X4_11_24	9.75425504720268	9.44026830917097	-12.3080368560699
X4_9_24	14.0998688925463	5.00971387598994	-22.6372830889708
X4_17_24	14.7717492402166	5.87368979604754	-22.9164698783092
X4_12_24	7.66178909809502	2.94448039938412	-10.0997261241677
X4_12_25	13.9346172888719	5.56139821256715	-22.1627050405103
X4_16_27	14.2325870716789	6.18331578083844	-22.3160761317216
X4_19_28	1.06982685392882	-3.87446386102698	8.57273945010339
X4_18_28	2.36936990124223	-4.61329533435728	7.49351189939155
X4_17_28	9.63397299252933	2.83576985493417	-7.79577544029773
X4_16_28	4.28211216989833	-0.352594442084202	3.7189110846293
X2_22_10	12.4207986783385	7.82442238689715	-19.166058263182
X2_26_15	13.5136090294717	5.51511584029806	-24.0911884170371
X2_18_17	12.7936968274117	5.84883074223016	-22.8457180510763
X2_12_17	12.5923328168634	7.19422608769147	-16.4183617361459
X2_26_18	7.8054166832211	5.19059329330559	-19.7524283291251
X2_26_19	9.25904119310411	11.8705930536919	-11.6795341438484
X2_11_22	13.4807653399884	5.23101691082679	-20.3759928633286
X2_23_22	13.3069404571068	6.71258521895146	-22.1793071072886
X2_8_23	15.0627676662727	7.30282550256501	-22.9475777196482
X2_27_23	8.23947877831774	5.92623581928838	-7.82321379698239
X2_26_23	-9.56705975682584	-2.85248294155969	11.1094783923902
X2_9_24	11.9996602701294	5.96947099919619	-22.0959077848874
X2_8_24	15.2703099516115	6.6397804457447	-24.0811555056925
X2_20_25	12.6348266578636	7.2032725772131	-19.9875045965082
X2_24_25	13.5191178760196	4.79925737365419	-24.5481103338786
X2_11_26	12.0835192392019	7.087857330055	-19.0375688503009
X2_10_26	1.65627328292756	-3.75238320607585	-3.16413351565538
X2_19_26	12.350724814208	7.31681991213832	-20.1603515407367
X2_17_27	14.28621871434	5.77363977632564	-24.5391154806192
X1_17_4	13.440952135505	4.71719673047	-22.0234062779334
X1_21_6	12.7099566397587	6.7551673107089	-23.3957096810642
X1_23_6	10.9212600533742	6.83179534969572	-22.5826578981705
X1_20_6	14.0195835312025	6.93586229840672	-23.9433375649558
X1_17_6	10.1795421946356	9.45261122035165	-11.3656409415884
X1_16_6	11.6887925850997	7.77181121095987	-16.3647440448855
X1_16_7	12.9992255557043	5.34251873739905	-20.4770286678878
X1_15_7	12.4095107864104	6.64072594228093	-22.312669613899
X1_17_8	12.2583001940379	5.29418380854944	-23.961254714594
X1_11_9	9.92078681914547	5.98606785472842	-15.7546351107164
X1_28_11	12.8440363211347	7.31399506464229	-24.3293330003965
