image	x_y	x	y	value
2018DiamondCNO-308_D1	45_33	45	33	Synovial cell hyperplasia
2018DiamondCNO-308_D1	35_41	35	41	Infiltrate;Synovial stroma
2018DiamondCNO-308_D1	31_13	31	13	Collagenous/Adipose tissue
2018DiamondCNO-308_D1	22_30	22	30	Synovial stroma
2018DiamondCNO-308_D1	47_37	47	37	Unknown
2018DiamondCNO-308_D1	18_30	18	30	Collagenous/Adipose tissue
2018DiamondCNO-308_D1	43_41	43	41	Unknown
2018DiamondCNO-308_D1	5_33	5	33	Unknown
2018DiamondCNO-308_D1	26_48	26	48	Synovial stroma
2018DiamondCNO-308_D1	3_31	3	31	Unknown
2018DiamondCNO-308_D1	5_31	5	31	Unknown
2018DiamondCNO-308_D1	17_33	17	33	Synovial stroma
2018DiamondCNO-308_D1	29_25	29	25	Synovial stroma
2018DiamondCNO-308_D1	7_47	7	47	Unknown
2018DiamondCNO-308_D1	23_39	23	39	Synovial stroma
2018DiamondCNO-308_D1	33_25	33	25	Unknown
2018DiamondCNO-308_D1	24_12	24	12	Synovial cell hyperplasia
2018DiamondCNO-308_D1	51_29	51	29	Unknown
2018DiamondCNO-308_D1	16_32	16	32	Synovial stroma
2018DiamondCNO-308_D1	42_48	42	48	Synovial stroma
2018DiamondCNO-308_D1	17_37	17	37	Synovial stroma
2018DiamondCNO-308_D1	31_45	31	45	Unknown
2018DiamondCNO-308_D1	17_39	17	39	Synovial stroma
2018DiamondCNO-308_D1	50_42	50	42	Synovial stroma
2018DiamondCNO-308_D1	13_53	13	53	Unknown
2018DiamondCNO-308_D1	44_48	44	48	Unknown
2018DiamondCNO-308_D1	11_45	11	45	Infiltrate
2018DiamondCNO-308_D1	16_48	16	48	Infiltrate;Synovial stroma
2018DiamondCNO-308_D1	18_26	18	26	Synovial stroma
2018DiamondCNO-308_D1	24_36	24	36	Collagenous/Adipose tissue
2018DiamondCNO-308_D1	26_14	26	14	Synovial stroma
2018DiamondCNO-308_D1	23_17	23	17	Synovial stroma
2018DiamondCNO-308_D1	47_55	47	55	Unknown
2018DiamondCNO-308_D1	19_37	19	37	Synovial stroma
2018DiamondCNO-308_D1	8_42	8	42	Infiltrate;Synovial stroma
2018DiamondCNO-308_D1	19_31	19	31	Synovial stroma
2018DiamondCNO-308_D1	41_27	41	27	Synovial stroma
2018DiamondCNO-308_D1	49_33	49	33	Unknown
2018DiamondCNO-308_D1	49_31	49	31	Unknown
2018DiamondCNO-308_D1	12_34	12	34	Synovial stroma
2018DiamondCNO-308_D1	22_28	22	28	Synovial stroma
2018DiamondCNO-308_D1	49_41	49	41	Synovial stroma
2018DiamondCNO-308_D1	43_31	43	31	Synovial stroma
2018DiamondCNO-308_D1	50_30	50	30	Unknown
2018DiamondCNO-308_D1	45_43	45	43	Unknown
2018DiamondCNO-308_D1	34_26	34	26	Synovial stroma
2018DiamondCNO-308_D1	26_40	26	40	Synovial stroma
2018DiamondCNO-308_D1	25_33	25	33	Collagenous/Adipose tissue
2018DiamondCNO-308_D1	34_36	34	36	Unknown
2018DiamondCNO-308_D1	12_42	12	42	Unknown
2018DiamondCNO-308_D1	31_41	31	41	Synovial stroma
2018DiamondCNO-308_D1	19_23	19	23	Synovial stroma
2018DiamondCNO-308_D1	35_43	35	43	Unknown
2018DiamondCNO-308_D1	12_22	12	22	Synovial cell hyperplasia
2018DiamondCNO-308_D1	11_21	11	21	Unknown
2018DiamondCNO-308_D1	23_29	23	29	Synovial stroma
2018DiamondCNO-308_D1	27_31	27	31	Collagenous/Adipose tissue
2018DiamondCNO-308_D1	18_42	18	42	Synovial stroma
2018DiamondCNO-308_D1	44_24	44	24	Synovial stroma
2018DiamondCNO-308_D1	24_16	24	16	Synovial stroma
2018DiamondCNO-308_D1	39_17	39	17	Synovial stroma
2018DiamondCNO-308_D1	43_13	43	13	Unknown
2018DiamondCNO-308_D1	10_46	10	46	Infiltrate;Synovial stroma
2018DiamondCNO-308_D1	30_18	30	18	Collagenous/Adipose tissue
2018DiamondCNO-308_D1	53_39	53	39	Unknown
2018DiamondCNO-308_D1	9_37	9	37	Unknown
2018DiamondCNO-308_D1	23_43	23	43	Synovial stroma
2018DiamondCNO-308_D1	30_42	30	42	Synovial stroma
2018DiamondCNO-308_D1	32_26	32	26	Synovial stroma
2018DiamondCNO-308_D1	34_48	34	48	Unknown
2018DiamondCNO-308_D1	24_40	24	40	Synovial stroma
2018DiamondCNO-308_D1	21_27	21	27	Collagenous/Adipose tissue
2018DiamondCNO-308_D1	46_54	46	54	Synovial stroma
2018DiamondCNO-308_D1	10_42	10	42	Unknown
2018DiamondCNO-308_D1	10_22	10	22	Unknown
2018DiamondCNO-308_D1	41_49	41	49	Infiltrate;Synovial stroma
2018DiamondCNO-308_D1	50_28	50	28	Unknown
2018DiamondCNO-308_D1	19_51	19	51	Synovial stroma
2018DiamondCNO-308_D1	49_35	49	35	Synovial cell hyperplasia
2018DiamondCNO-308_D1	44_54	44	54	Synovial stroma
2018DiamondCNO-308_D1	17_47	17	47	Synovial stroma
2018DiamondCNO-308_D1	46_18	46	18	Infiltrate
2018DiamondCNO-308_D1	13_23	13	23	Synovial stroma
2018DiamondCNO-308_D1	1_33	1	33	Unknown
2018DiamondCNO-308_D1	51_41	51	41	Synovial stroma
2018DiamondCNO-308_D1	47_53	47	53	Infiltrate
2018DiamondCNO-308_D1	16_44	16	44	Synovial stroma
2018DiamondCNO-308_D1	4_32	4	32	Unknown
2018DiamondCNO-308_D1	25_21	25	21	Synovial stroma
2018DiamondCNO-308_D1	21_21	21	21	Synovial stroma
2018DiamondCNO-308_D1	13_43	13	43	Synovial stroma
2018DiamondCNO-308_D1	28_20	28	20	Collagenous/Adipose tissue
2018DiamondCNO-308_D1	44_26	44	26	Synovial stroma
2018DiamondCNO-308_D1	2_42	2	42	Unknown
2018DiamondCNO-308_D1	18_36	18	36	Synovial stroma
2018DiamondCNO-308_D1	40_42	40	42	Unknown
2018DiamondCNO-308_D1	39_47	39	47	Synovial stroma
2018DiamondCNO-308_D1	46_24	46	24	Unknown
2018DiamondCNO-308_D1	16_38	16	38	Synovial stroma
2018DiamondCNO-308_D1	50_26	50	26	Unknown
2018DiamondCNO-308_D1	45_29	45	29	Collagenous/Adipose tissue
2018DiamondCNO-308_D1	48_36	48	36	Synovial cell hyperplasia
2018DiamondCNO-308_D1	42_28	42	28	Synovial stroma
