V1	V2
X4_48_36	0.427240326096893	0.483732091513112
X4_36_28	0.114184990785645	0.125722350287031
X4_45_41	0.613267630798177	0.389071918997164
X4_53_51	0.998165280025091	0.624306588341604
X4_54_50	0.961326763079811	0.655368766112687
X4_43_39	0.535921156957812	0.329894841860384
X4_65_35	0.405079568950839	1
X4_45_43	0.688779384663633	0.387598279794474
X4_45_29	0.160197107605427	0.397913754213324
X4_55_43	0.697952984538148	0.690851861491851
X4_44_26	0.0460121168197958	0.369798854847627
X4_49_33	0.314890055286156	0.516267908486888
X4_34_34	0.338885532407105	0.0606507163394774
X4_46_40	0.576429113852896	0.420134096768251
X4_43_29	0.158362387630532	0.33726303787385
X4_47_39	0.53959059690763	0.451196274539335
X4_47_49	0.917149366234909	0.443828078525868
X4_44_38	0.499082640012531	0.360957019631467
X4_44_42	0.650106147743472	0.358009741226081
X4_49_31	0.2393783014207	0.517741547689585
X4_55_45	0.773464738403604	0.689378222289161
X4_41_37	0.458574683117462	0.270717764723599
X4_44_34	0.34805913228162	0.363904298036854
X4_39_27	0.0791811938152733	0.217435244397592
X4_43_45	0.762456418554194	0.325473924252304
X4_36_38	0.491743760112925	0.118354154273565
X4_56_48	0.887649729189263	0.717493121654858
X4_48_32	0.276216818365981	0.486679369918498
X4_49_49	0.918984086209818	0.504478794865346
X4_44_32	0.272547378416164	0.365377937239547
X4_47_47	0.841637612369453	0.445301717728565
X4_45_31	0.235708861470883	0.39644011501063
X4_65_37	0.480591322816295	0.998526360797307
X4_42_38	0.497247920037651	0.300306303291993
X4_40_42	0.646436707793654	0.236708308547133
X4_58_44	0.738460941433246	0.781091116399718
X4_51_31	0.241213021395595	0.578392264029059
X4_46_38	0.50091735998744	0.421607735970944
X4_61_35	0.401410129001036	0.878698567321052
X4_45_47	0.839802892394559	0.384651001389088
X4_32_30	0.186027304701284	0.00294727840538656
X4_38_38	0.493578480087834	0.179004870613042
X4_44_46	0.801129655474384	0.355062462820698
X4_37_35	0.379393489302188	0.150889971247345
X4_49_45	0.767960578478906	0.507426073270729
X4_41_29	0.156527667655624	0.276612321534376
X4_51_39	0.543260036857433	0.572497707218286
X4_50_26	0.0515162767444934	0.551751003866052
X4_35_27	0.0755117538654559	0.0961338117186408
X4_45_37	0.462244123067265	0.392019197402554
X4_47_31	0.237543581445792	0.457090831350104
X4_59_47	0.852645932218877	0.809206015765415
X4_55_29	0.169370707479956	0.7011673359107
X4_50_46	0.806633815399081	0.537014611839123
X4_36_40	0.567255513978381	0.116880515070871
X4_52_32	0.279886258315798	0.607980802597449
X4_36_30	0.189696744651101	0.124248711084338
X4_50_28	0.127028030609949	0.550277364663359
X4_52_38	0.506421519912166	0.603559884989373
X4_50_36	0.429075046071802	0.544382807852589
X4_36_34	0.340720252382013	0.121301432678951
X4_34_32	0.263373778541649	0.0621243555421707
X4_40_40	0.570924953928198	0.238181947749823
X4_49_43	0.69244882461345	0.508899712473426
X4_48_38	0.502752079962349	0.482258452310418
X4_41_33	0.30755117538655	0.27366504312899
X4_48_50	0.955822603155099	0.473416617094262
X4_49_41	0.616937070747994	0.510373351676119
X4_43_41	0.611432910823282	0.32842120265769
X4_43_43	0.686944664688738	0.326947563454997
X4_50_50	0.957657323130007	0.534067333433736
X4_41_25	0.00550415992471187	0.279559599939759
X4_50_34	0.353563292206346	0.545856447055282
X4_46_46	0.802964375449292	0.415713179160171
X4_48_40	0.578263833827805	0.480784813107725
X4_54_48	0.885815009214355	0.656842405315381
X4_36_32	0.265208498516557	0.122775071881648
X4_38_36	0.418066726222378	0.180478509815735
X4_43_25	0.00733887989960635	0.340210316279236
X4_51_49	0.920818806184727	0.56512951120482
X4_50_32	0.27805153834089	0.547330086257972
X4_49_29	0.163866547555244	0.519215186892275
X4_45_45	0.764291138529089	0.386124640591781
X4_47_45	0.766125858503997	0.446775356931255
X4_51_45	0.769795298453815	0.568076789610206
X4_48_30	0.200705064500525	0.488153009121191
X4_42_40	0.572759673903107	0.2988326640893
X4_46_42	0.651940867718352	0.418660457565558
X4_55_31	0.244882461345412	0.69969369670801
X4_50_30	0.202539784475434	0.548803725460669
X4_47_41	0.615102350773086	0.449722635336641
X4_51_51	0.996330560050183	0.56365587200213
X4_53_45	0.771630018428723	0.62872750594968
X4_51_27	0.0901895136646829	0.581339542434446
X4_58_40	0.58743743370232	0.784038394805105
X4_46_30	0.198870344525616	0.427502292781718
X4_43_37	0.460409403092356	0.331368481063077
X4_43_33	0.309385895361444	0.334315759468463
X4_52_48	0.883980289239446	0.596191688975907
X4_43_31	0.233874141495988	0.335789398671157
X4_55_47	0.848976492269088	0.687904583086464
X4_54_28	0.130697470559767	0.671578797342313
X4_54_32	0.281720978290679	0.668631518936923
X4_38_28	0.11601971076054	0.186373066626508
X4_49_39	0.541425316882538	0.511846990878809
X4_61_47	0.854480652193786	0.869856732104889
X4_55_27	0.093858953614486	0.702640975113397
X4_39_39	0.532251717008009	0.208593409181432
X4_42_28	0.119689150710343	0.30767449930546
X4_50_42	0.655610307668169	0.539961890244509
X4_35_33	0.302047015461824	0.0917128941105609
X4_40_32	0.268877938466346	0.244076504560596
X4_49_27	0.0883547936897884	0.520688826094972
X4_50_44	0.731122061533625	0.538488251041816
X4_37_25	0.00183471997490869	0.158258167260811
X4_49_47	0.843472332344362	0.505952434068039
X4_56_50	0.963161483054719	0.716019482452161
X4_56_44	0.736626221458337	0.720440400060241
X4_51_33	0.316724775261065	0.576918624826366
X4_47_37	0.464078843042174	0.452669913742028
X4_41_41	0.609598190848374	0.267770486318213
X4_56_30	0.208043944400131	0.730755874479094
X4_48_46	0.804799095424187	0.476363895499645
X4_56_32	0.283555698265587	0.729282235276401
X4_40_36	0.419901446197287	0.241129226155213
X4_42_44	0.723783181634019	0.295885385683913
X4_54_44	0.734791501483443	0.659789683720767
X4_53_43	0.696118264563253	0.630201145152373
X4_51_47	0.845307052319271	0.566603150407513
X4_39_35	0.381228209277097	0.211540687586819
X4_34_36	0.41439728627256	0.0591770771367806
X4_34_26	0.0368385169452807	0.0665452731502469
X4_51_43	0.694283544588359	0.569550428812899
X4_55_49	0.924488246134544	0.686430943883771
X4_52_46	0.80846853537399	0.597665328178596
X4_52_34	0.355398012181254	0.606507163394756
X4_39_33	0.305716455411641	0.213014326789512
X4_44_44	0.725617901608928	0.356536102023387
X4_46_28	0.12335859066016	0.428975931984407
X4_50_48	0.882145569264537	0.535540972636429
X4_57_31	0.246717181320321	0.760344413047488
X4_42_30	0.195200904575799	0.306200860102766
X4_44_36	0.423570886147075	0.36243065883416
X4_35_31	0.226535261596368	0.0931865333132542
X4_41_31	0.23203942152108	0.275138682331679
X4_49_35	0.390401809151612	0.514794269284195
X4_42_32	0.270712658441255	0.304727220900073
X4_33_29	0.149188787756003	0.0340094561764701
X4_51_37	0.467748282991977	0.573971346420979
X4_51_35	0.392236529126521	0.575444985623673
X4_53_49	0.922653526159635	0.625780227544293
X4_36_26	0.0386732369201752	0.127195989489724
X4_37_37	0.454905243167644	0.149416332044648
X4_60_30	0.211713384349949	0.852057307158045
X4_56_28	0.132532190534675	0.732229513681787
X4_47_35	0.388567089176718	0.454143552944721
X4_37_31	0.228369981571277	0.153837249652728
X4_57_39	0.548764196782145	0.754449856236711
X4_43_27	0.0828506337650623	0.33873667707654
X4_38_26	0.0405079568950697	0.187846705829202
X4_59_49	0.928157686084333	0.807732376562726
X4_55_51	1	0.684957304681078
X4_38_40	0.56909023395329	0.177531231410345
X4_33_33	0.300212295486929	0.0310621777710836
X4_62_46	0.817642135248505	0.900918909875976
X4_47_29	0.162031827580336	0.458564470552801
X4_63_35	0.40324484897593	0.939349283660526
X4_44_30	0.197035624550708	0.36685157644224
X4_38_34	0.342554972356922	0.181952149018429
X4_50_38	0.504586799937258	0.542909168649892
X4_56_38	0.510090959861955	0.724861317668324
X4_43_35	0.3848976492269	0.33284212026577
X4_37_27	0.0773464738403646	0.156784528058115
X4_44_28	0.121523870685252	0.368325215644933
X4_40_38	0.495413200062742	0.239655586952516
X4_53_39	0.545094756832327	0.63314842355776
X4_52_28	0.128862750584858	0.610928081002839
X4_35_25	0	0.097607450921334
X4_49_37	0.465913563017068	0.513320630081505
X4_52_44	0.732956781508534	0.599138967381293
X4_59_35	0.399575409026141	0.818047850981575
X4_59_39	0.550598916757053	0.815100572576188
X4_37_41	0.60592875089857	0.146469053639265
X4_64_48	0.89498860908887	0.960095987012757
X4_40_28	0.117854430735434	0.247023782965982
X4_53_29	0.167535987505048	0.640516619571226
X4_60_32	0.287225138215405	0.850583667955352
X4_46_34	0.349893852256528	0.424555014376327
X4_58_30	0.20987866437504	0.791406590818568
X4_64_34	0.366406332030664	0.97041146143161
X4_47_33	0.313055335311248	0.455617192147415
X4_41_27	0.0810159137901678	0.278085960737066
X4_42_42	0.648271427768563	0.297359024886607
X4_57_33	0.322228935185777	0.758870773844791
X4_39_31	0.230204701546185	0.214487965992205
X4_58_32	0.285390418240496	0.789932951615878
X4_51_41	0.618771790722903	0.571024068015593
X4_60_50	0.966830923004522	0.837320915131112
X4_33_27	0.0736770338905472	0.0354830953791634
X4_47_27	0.0865200737148797	0.460038109755494
X4_45_25	0.00917359987451505	0.40086103261871
X4_36_36	0.416232006247469	0.119827793476258
X4_39_37	0.456739963142553	0.210067048384126
X4_41_35	0.383062929252006	0.272191403926296
X4_60_34	0.362736892080861	0.849110028752659
X4_32_34	0.337050812432196	0
X4_46_26	0.0478468367947045	0.430449571187104
X4_57_49	0.926322966109424	0.747081660223245
X4_33_31	0.224700541621459	0.0325358169737804
X4_38_30	0.19153146462601	0.184899427423812
X4_64_38	0.517429839761576	0.967464183026223
X4_56_40	0.585602713727425	0.723387678465627
X4_52_42	0.657445027643078	0.600612606583983
X4_52_50	0.959492043104902	0.59471804977321
X4_48_44	0.729287341558717	0.477837534702342
X4_58_50	0.964996203029614	0.776670198791638
X4_40_34	0.344389692331831	0.242602865357902
X4_35_37	0.45307052319275	0.0887656157051744
X4_57_43	0.699787704513056	0.751502577831324
X4_45_39	0.537755876932721	0.390545558199861
X4_37_33	0.303881735436732	0.152363610450035
X4_50_40	0.580098553802713	0.541435529447202
X4_53_37	0.469583002966871	0.634622062760457
X4_62_34	0.364571612055769	0.909760745092136
X4_48_48	0.880310849289643	0.474890256296952
X4_37_39	0.530416997033115	0.147942692841958
X4_48_42	0.653775587693261	0.479311173905032
X4_53_27	0.0920242336395916	0.641990258773919
X4_64_44	0.743965101357958	0.963043265418143
X4_46_36	0.425405606121984	0.423081375173638
X4_45_33	0.311220615336353	0.394966475807941
X4_60_46	0.815807415273611	0.840268193536499
X4_53_35	0.394071249101415	0.636095701963146
X4_52_40	0.581933273777622	0.602086245786676
X4_53_47	0.847141772294179	0.62725386674699
X4_63_43	0.705291864437783	0.933454726849753
X4_61_33	0.32589837513558	0.880172206523742
X4_48_34	0.351728572231437	0.485205730715808
X4_62_32	0.289059858190313	0.911234384294829
X4_39_25	0.00366943994980318	0.218908883600285
X4_54_38	0.508256239887061	0.664210601328847
X4_59_31	0.248551901295215	0.820995129386962
X4_61_31	0.25038662127011	0.881645845726435
X4_53_31	0.243047741370503	0.639042980368536
X4_46_44	0.727452621583822	0.417186818362865
X4_56_34	0.359067452131043	0.727808596073707
X4_64_46	0.819476855223414	0.961569626215454
X4_61_45	0.77896889832833	0.871330371307586
X4_54_30	0.206209224425223	0.67010515813962
X4_48_26	0.0496815567696132	0.491100287526578
X4_40_30	0.19336618460089	0.245550143763289
X4_61_37	0.476921882866506	0.877224928118356
X4_62_48	0.893153889113975	0.899445270673283
X4_57_29	0.171205427454851	0.761818052250177
X4_38_42	0.644601987818746	0.176057592207655
X4_62_36	0.440083365921225	0.908287105889443
X4_39_29	0.154692947680729	0.215961605194899
X4_55_33	0.320394215210868	0.698220057505317
X4_33_35	0.375724049352385	0.0295885385683938
X4_41_39	0.534086436982918	0.26924412552091
X4_48_28	0.125193310635069	0.489626648323885
