V1	V2	V3
X1_29_49	-7.22454812310203	-16.1170992989989	24.2729028056611
X1_35_55	-10.0765454291233	1.92079365916455	22.4924196634427
X1_29_41	-28.851937918156	-0.308155032721439	23.6001493489421
X1_24_34	-8.09066094789474	-14.0175421283381	16.9026852739549
X1_32_44	-0.0171640901198757	-12.0929980048051	19.0338268277952
X1_39_55	12.1241013777109	-11.3425840312108	25.535178791697
X1_19_27	2.31497696551191	-9.05177507240549	11.0256674767727
X1_22_34	-29.4608085243394	0.202471637485643	23.4586442071978
X1_32_40	-14.4683976238986	-18.3822435669983	16.8734125280942
X1_31_51	-15.2759542227461	-7.24147434271987	24.6925028323949
X1_32_38	-26.7587115237374	-1.72720287337864	22.2438985758765
X1_33_35	-9.57409064421225	-15.3541126088385	15.4988286449858
X1_33_37	-28.0761461260162	-0.197659156112318	23.262217751567
X1_30_50	-20.4319009853979	0.673561120111319	24.5718884297681
X1_23_33	-27.7020102236957	-0.299626146936802	22.7570948388983
X1_26_46	-30.0816956382665	-0.660899157844105	22.8853586423376
X1_30_46	-19.4766741838958	-6.17716040980909	24.3563190647871
X1_28_46	-6.91966619206962	-12.1357333677949	17.7083903940788
X1_35_37	-28.115596785252	-1.43595350894393	23.4018724956596
X1_32_42	-23.2904091060032	-1.10698150263286	24.9997895810337
X1_32_46	-21.5365276205941	0.561848176117477	26.2222177423891
X1_36_34	-22.3870888198433	-0.696108559070383	26.0820766835664
X1_26_44	-6.76882255931274	-9.32148356112666	19.4138023398757
X1_31_39	-27.288080334177	-0.836575553935233	24.4625193597975
X1_47_53	-16.3635349132973	-18.1414214971161	16.6032889307717
X1_31_41	-24.0464539746042	-12.6445596801638	21.0969963625856
X1_24_32	-22.2077222395972	-1.17180011803885	24.5839303726557
X1_32_52	-20.928166962695	-0.359326482637625	16.5717837969398
X1_31_43	-5.56512907422299	-21.5065275847497	13.9098045480796
X1_27_45	-26.6714366310792	-1.2458580132576	24.2229530455022
X1_34_56	-28.5784424874952	0.380408797278698	22.9784738892334
X1_30_48	-15.846702641966	-5.53119194937201	22.6381406651312
X1_25_47	-20.4961199584702	1.69687252692604	26.7787044906194
X1_36_38	-7.63124600916409	-10.6891086061352	19.4275283537359
X1_30_40	-26.9411841550102	-0.191643997286245	23.0206623503745
X1_20_34	-22.4012914880323	-7.7366203414393	23.2316267683999
X1_34_38	-25.9826942552782	-1.40216683835026	22.9050663595543
X1_45_53	-7.93509529988802	-13.1716142724341	17.2464808198225
X1_28_48	-17.352755655022	0.339668107395738	16.3067326218573
X1_31_47	-18.5691743722141	-0.146677864593415	17.7321057824441
