image	x_y	x	y	value
RA2_1	18_24	18	24	Synovial stroma
RA2_1	31_16	31	16	Synovial stroma
RA2_1	29_16	29	16	Infiltrate
RA2_1	20_24	20	24	Synovial stroma
RA2_1	26_23	26	23	Synovial stroma
RA2_1	16_24	16	24	Infiltrate;Synovial stroma
RA2_1	17_19	17	19	Infiltrate;Synovial stroma
RA2_1	21_8	21	8	Synovial stroma
RA2_1	22_21	22	21	Infiltrate
RA2_1	18_11	18	11	Synovial stroma
RA2_1	16_21	16	21	Infiltrate
RA2_1	15_24	15	24	Infiltrate;Synovial stroma
RA2_1	18_15	18	15	Synovial stroma
RA2_1	23_12	23	12	Infiltrate
RA2_1	25_13	25	13	Infiltrate
RA2_1	17_24	17	24	Infiltrate;Synovial stroma
RA2_1	27_16	27	16	Synovial stroma
RA2_1	19_17	19	17	Synovial stroma
RA2_1	28_23	28	23	Synovial stroma
RA2_1	18_16	18	16	Synovial stroma
RA2_1	15_20	15	20	Infiltrate
RA2_1	28_9	28	9	Synovial stroma
RA2_1	13_13	13	13	Synovial stroma
RA2_1	31_21	31	21	Synovial stroma
RA2_1	27_21	27	21	Synovial stroma
RA2_1	27_19	27	19	Synovial stroma
RA2_1	13_23	13	23	Infiltrate;Synovial stroma
RA2_1	14_22	14	22	Infiltrate
RA2_1	22_10	22	10	Synovial stroma
RA2_1	14_11	14	11	Synovial stroma
RA2_1	30_10	30	10	Synovial stroma
RA2_1	13_9	13	9	Synovial stroma
RA2_1	24_11	24	11	Infiltrate
RA2_1	21_22	21	22	Infiltrate
RA2_1	31_14	31	14	Synovial stroma
RA2_1	24_18	24	18	Synovial stroma
RA2_1	25_16	25	16	Synovial stroma
RA2_1	15_22	15	22	Infiltrate
RA2_1	21_20	21	20	Infiltrate
RA2_1	23_15	23	15	Infiltrate
RA2_1	22_16	22	16	Synovial stroma
RA2_1	20_14	20	14	Synovial stroma
RA2_1	23_24	23	24	Synovial stroma
RA2_1	24_21	24	21	Synovial stroma
RA2_1	15_11	15	11	Synovial stroma
RA2_1	18_22	18	22	Infiltrate;Synovial stroma
RA2_1	25_14	25	14	Infiltrate
RA2_1	13_20	13	20	Infiltrate;Synovial stroma
RA2_1	18_12	18	12	Synovial stroma
RA2_1	29_9	29	9	Synovial stroma
RA2_1	18_23	18	23	Infiltrate
RA2_1	20_9	20	9	Synovial stroma
RA2_1	11_19	11	19	Infiltrate
RA2_1	22_11	22	11	Synovial stroma
RA2_1	16_13	16	13	Synovial stroma
RA2_1	23_13	23	13	Infiltrate
RA2_1	27_18	27	18	Synovial stroma
RA2_1	24_20	24	20	Synovial stroma
RA2_1	22_18	22	18	Synovial stroma
RA2_1	19_9	19	9	Synovial stroma
RA2_1	26_9	26	9	Synovial stroma
RA2_1	22_15	22	15	Synovial stroma
RA2_1	11_12	11	12	Synovial stroma
RA2_1	20_10	20	10	Synovial stroma
RA2_1	25_18	25	18	Synovial stroma
RA2_1	14_17	14	17	Infiltrate;Synovial stroma
RA2_1	27_8	27	8	Synovial stroma
RA2_1	21_9	21	9	Synovial stroma
RA2_1	20_20	20	20	Synovial stroma
RA2_1	16_14	16	14	Synovial stroma
RA2_1	29_8	29	8	Synovial stroma
RA2_1	23_17	23	17	Synovial stroma
RA2_1	24_19	24	19	Synovial stroma
RA2_1	27_17	27	17	Synovial stroma
RA2_1	14_23	14	23	Infiltrate
RA2_1	23_21	23	21	Infiltrate
RA2_1	23_23	23	23	Synovial stroma
RA2_1	25_12	25	12	Infiltrate
RA2_1	24_16	24	16	Synovial stroma
RA2_1	11_13	11	13	Synovial stroma
RA2_1	26_19	26	19	Infiltrate
RA2_1	16_23	16	23	Infiltrate
RA2_1	20_17	20	17	Synovial stroma
RA2_1	25_19	25	19	Infiltrate
RA2_1	20_19	20	19	Synovial stroma
RA2_1	30_17	30	17	Infiltrate
RA2_1	19_13	19	13	Synovial stroma
RA2_1	20_22	20	22	Infiltrate
RA2_1	17_15	17	15	Synovial stroma
RA2_1	27_12	27	12	Infiltrate
RA2_1	32_16	32	16	Synovial stroma
RA2_1	19_16	19	16	Synovial stroma
RA2_1	15_17	15	17	Infiltrate;Synovial stroma
