pix_x	pix_y
40_40	5917.538	6462.159
26_46	3616.274	7539.186
37_45	5424.41	7359.681
40_38	5917.538	6103.15
33_45	4766.906	7359.681
48_58	7232.547	9693.239
38_46	5588.786	7539.186
53_53	8054.427	8795.717
33_51	4766.906	8436.708
26_44	3616.274	7180.177
36_52	5260.034	8616.212
23_41	3123.145	6641.664
38_40	5588.786	6462.159
25_43	3451.897	7000.673
53_51	8054.427	8436.708
35_41	5095.658	6641.664
52_52	7890.051	8616.212
50_38	7561.299	6103.15
24_42	3287.521	6821.168
39_55	5753.162	9154.726
55_53	8383.179	8795.717
54_48	8218.803	7898.195
43_57	6410.667	9513.735
51_45	7725.675	7359.681
41_41	6081.915	6641.664
38_54	5588.786	8975.221
30_38	4273.778	6103.15
27_43	3780.65	7000.673
42_38	6246.291	6103.15
42_40	6246.291	6462.159
33_53	4766.906	8795.717
42_44	6246.291	7180.177
55_43	8383.179	7000.673
32_38	4602.53	6103.15
38_50	5588.786	8257.204
52_54	7890.051	8975.221
38_42	5588.786	6821.168
35_55	5095.658	9154.726
52_44	7890.051	7180.177
32_42	4602.53	6821.168
52_50	7890.051	8257.204
45_51	6739.419	8436.708
37_47	5424.41	7718.69
54_50	8218.803	8257.204
51_47	7725.675	7718.69
33_47	4766.906	7718.69
46_54	6903.795	8975.221
41_39	6081.915	6282.655
47_37	7068.171	5923.646
40_58	5917.538	9693.239
33_49	4766.906	8077.699
42_56	6246.291	9334.23
52_56	7890.051	9334.23
33_41	4766.906	6641.664
54_40	8218.803	6462.159
54_52	8218.803	8616.212
46_56	6903.795	9334.23
35_49	5095.658	8077.699
33_37	4766.906	5923.646
40_54	5917.538	8975.221
41_37	6081.915	5923.646
36_46	5260.034	7539.186
41_43	6081.915	7000.673
50_48	7561.299	7898.195
47_47	7068.171	7718.69
50_42	7561.299	6821.168
27_41	3780.65	6641.664
42_54	6246.291	8975.221
44_54	6575.043	8975.221
54_54	8218.803	8975.221
38_36	5588.786	5744.142
38_48	5588.786	7898.195
53_49	8054.427	8077.699
48_40	7232.547	6462.159
32_36	4602.53	5744.142
36_38	5260.034	6103.15
25_35	3451.897	5564.637
32_48	4602.53	7898.195
55_51	8383.179	8436.708
38_52	5588.786	8616.212
51_49	7725.675	8077.699
30_36	4273.778	5744.142
28_38	3945.026	6103.15
41_47	6081.915	7718.69
51_51	7725.675	8436.708
45_37	6739.419	5923.646
41_35	6081.915	5564.637
46_38	6903.795	6103.15
27_33	3780.65	5205.628
46_42	6903.795	6821.168
47_39	7068.171	6282.655
30_50	4273.778	8257.204
37_55	5424.41	9154.726
36_50	5260.034	8257.204
28_34	3945.026	5385.133
34_40	4931.282	6462.159
46_40	6903.795	6462.159
33_39	4766.906	6282.655
45_47	6739.419	7718.69
27_37	3780.65	5923.646
48_56	7232.547	9334.23
26_34	3616.274	5385.133
52_42	7890.051	6821.168
48_54	7232.547	8975.221
25_37	3451.897	5923.646
35_47	5095.658	7718.69
