image	x_y	x	y	value
RA1_4	10_17	10	17	Synovial stroma
RA1_4	23_12	23	12	Collagenous/Adipose tissue;Synovial stroma
RA1_4	15_8	15	8	Synovial stroma
RA1_4	13_14	13	14	Collagenous/Adipose tissue
RA1_4	9_22	9	22	Synovial stroma
RA1_4	16_17	16	17	Collagenous/Adipose tissue
RA1_4	6_13	6	13	Synovial stroma
RA1_4	11_10	11	10	Collagenous/Adipose tissue;Synovial stroma
RA1_4	22_22	22	22	Synovial stroma
RA1_4	9_9	9	9	Synovial stroma
RA1_4	25_13	25	13	Synovial stroma
RA1_4	25_8	25	8	Synovial stroma
RA1_4	11_14	11	14	Collagenous/Adipose tissue
RA1_4	23_20	23	20	Synovial stroma
RA1_4	10_15	10	15	Collagenous/Adipose tissue
RA1_4	8_7	8	7	Synovial stroma
RA1_4	7_10	7	10	Synovial stroma
RA1_4	12_21	12	21	Collagenous/Adipose tissue;Synovial stroma
RA1_4	10_9	10	9	Synovial stroma
RA1_4	23_14	23	14	Infiltrate
RA1_4	20_22	20	22	Collagenous/Adipose tissue;Synovial stroma
RA1_4	27_12	27	12	Synovial stroma
RA1_4	21_11	21	11	Synovial stroma
RA1_4	12_13	12	13	Collagenous/Adipose tissue
RA1_4	7_21	7	21	Synovial stroma
RA1_4	15_14	15	14	Synovial stroma
RA1_4	21_23	21	23	Collagenous/Adipose tissue;Synovial stroma
RA1_4	26_15	26	15	Infiltrate
RA1_4	22_14	22	14	Synovial stroma
RA1_4	17_12	17	12	Synovial stroma
RA1_4	17_17	17	17	Collagenous/Adipose tissue
RA1_4	18_10	18	10	Synovial stroma
RA1_4	26_21	26	21	Synovial stroma
RA1_4	19_19	19	19	Synovial stroma
RA1_4	17_20	17	20	Synovial stroma
RA1_4	27_15	27	15	Infiltrate
RA1_4	20_11	20	11	Synovial stroma
RA1_4	18_14	18	14	Synovial stroma
RA1_4	27_18	27	18	Synovial stroma
RA1_4	10_21	10	21	Synovial stroma
RA1_4	11_16	11	16	Collagenous/Adipose tissue
RA1_4	9_6	9	6	Synovial stroma
RA1_4	14_7	14	7	Synovial stroma
RA1_4	23_19	23	19	Synovial stroma
RA1_4	23_21	23	21	Synovial stroma
RA1_4	7_22	7	22	Synovial stroma
RA1_4	24_12	24	12	Collagenous/Adipose tissue;Synovial stroma
RA1_4	26_20	26	20	Synovial stroma
RA1_4	26_13	26	13	Synovial stroma
RA1_4	9_18	9	18	Synovial stroma
RA1_4	20_19	20	19	Infiltrate
RA1_4	28_21	28	21	Synovial stroma
RA1_4	19_20	19	20	Synovial stroma
RA1_4	22_17	22	17	Synovial stroma
RA1_4	9_15	9	15	Synovial stroma
RA1_4	23_18	23	18	Synovial stroma
RA1_4	21_7	21	7	Synovial stroma
RA1_4	25_17	25	17	Synovial stroma
RA1_4	16_13	16	13	Synovial stroma
RA1_4	12_7	12	7	Synovial stroma
RA1_4	25_15	25	15	Synovial stroma
RA1_4	13_22	13	22	Collagenous/Adipose tissue;Synovial stroma
RA1_4	10_8	10	8	Synovial stroma
RA1_4	26_19	26	19	Infiltrate
RA1_4	27_17	27	17	Synovial stroma
RA1_4	19_6	19	6	Synovial stroma
RA1_4	29_17	29	17	Synovial stroma
RA1_4	7_19	7	19	Synovial stroma
RA1_4	17_14	17	14	Synovial stroma
RA1_4	22_8	22	8	Synovial stroma
RA1_4	11_23	11	23	Synovial stroma
RA1_4	24_19	24	19	Synovial stroma
RA1_4	20_9	20	9	Infiltrate
RA1_4	8_18	8	18	Synovial stroma
RA1_4	7_9	7	9	Synovial stroma
RA1_4	17_19	17	19	Synovial stroma
RA1_4	13_11	13	11	Infiltrate;Synovial stroma
RA1_4	25_21	25	21	Synovial stroma
RA1_4	12_15	12	15	Collagenous/Adipose tissue
RA1_4	22_16	22	16	Synovial stroma
RA1_4	11_22	11	22	Collagenous/Adipose tissue;Synovial stroma
