image	x_y	x	y	value
RA2_2	24_18	24	18	Synovial stroma
RA2_2	15_11	15	11	Synovial stroma
RA2_2	23_11	23	11	Infiltrate
RA2_2	14_17	14	17	Synovial stroma
RA2_2	22_12	22	12	Infiltrate
RA2_2	17_13	17	13	Synovial stroma
RA2_2	16_15	16	15	Synovial stroma
RA2_2	31_16	31	16	Synovial stroma
RA2_2	19_25	19	25	Synovial stroma
RA2_2	27_11	27	11	Synovial stroma
RA2_2	24_16	24	16	Synovial stroma
RA2_2	24_23	24	23	Synovial stroma
RA2_2	9_15	9	15	Synovial stroma
RA2_2	32_13	32	13	Synovial stroma
RA2_2	14_16	14	16	Synovial stroma
RA2_2	21_20	21	20	Synovial stroma
RA2_2	27_14	27	14	Synovial stroma
RA2_2	23_18	23	18	Synovial stroma
RA2_2	24_10	24	10	Infiltrate
RA2_2	20_13	20	13	Synovial stroma
RA2_2	26_16	26	16	Synovial stroma
RA2_2	25_22	25	22	Synovial stroma
RA2_2	14_22	14	22	Infiltrate
RA2_2	32_17	32	17	Synovial stroma
RA2_2	21_18	21	18	Synovial stroma
RA2_2	26_7	26	7	Synovial stroma
RA2_2	29_15	29	15	Synovial stroma
RA2_2	31_19	31	19	Synovial stroma
RA2_2	13_15	13	15	Infiltrate
RA2_2	18_19	18	19	Synovial stroma
RA2_2	20_23	20	23	Synovial stroma
RA2_2	23_10	23	10	Infiltrate
RA2_2	29_11	29	11	Synovial stroma
RA2_2	14_20	14	20	Infiltrate
RA2_2	18_15	18	15	Synovial stroma
RA2_2	15_14	15	14	Synovial stroma
RA2_2	29_14	29	14	Synovial stroma
RA2_2	30_20	30	20	Synovial stroma
RA2_2	11_10	11	10	Synovial stroma
RA2_2	32_14	32	14	Synovial stroma
RA2_2	13_16	13	16	Infiltrate
RA2_2	17_21	17	21	Infiltrate
RA2_2	20_8	20	8	Synovial stroma
RA2_2	14_10	14	10	Synovial stroma
RA2_2	17_23	17	23	Infiltrate
RA2_2	12_15	12	15	Infiltrate
RA2_2	17_22	17	22	Infiltrate
RA2_2	11_14	11	14	Synovial stroma
RA2_2	26_21	26	21	Infiltrate
RA2_2	10_17	10	17	Infiltrate;Synovial stroma
RA2_2	23_12	23	12	Infiltrate
RA2_2	15_9	15	9	Synovial stroma
RA2_2	23_23	23	23	Synovial stroma
RA2_2	20_21	20	21	Synovial stroma
RA2_2	24_20	24	20	Synovial stroma
RA2_2	22_9	22	9	Infiltrate;Synovial stroma
RA2_2	20_24	20	24	Synovial stroma
RA2_2	16_9	16	9	Synovial stroma
RA2_2	20_20	20	20	Synovial stroma
RA2_2	12_9	12	9	Synovial stroma
RA2_2	15_18	15	18	Infiltrate
RA2_2	18_22	18	22	Infiltrate;Synovial stroma
RA2_2	23_9	23	9	Infiltrate
RA2_2	23_19	23	19	Synovial stroma
RA2_2	28_8	28	8	Synovial stroma
RA2_2	17_18	17	18	Synovial stroma
RA2_2	12_19	12	19	Infiltrate
RA2_2	21_7	21	7	Synovial stroma
RA2_2	14_15	14	15	Synovial stroma
RA2_2	18_8	18	8	Synovial stroma
