"","infiltrate"
"X5_16_14","Inf1"
"X5_15_14","Inf1"
"X5_13_14","Inf1"
"X5_14_14","Inf1"
"X5_16_15","Inf1"
"X5_15_15","Inf1"
"X5_14_15","Inf1"
"X5_13_15","Inf1"
"X5_15_16","Inf1"
"X5_13_16","Inf1"
"X5_14_16","Inf1"
"X5_16_16","Inf1"
"X5_16_17","Inf1"
"X5_13_17","Inf1"
"X5_15_17","Inf1"
"X5_14_17","Inf1"
"X5_15_18","Inf1"
"X5_14_18","Inf1"
"X5_13_18","Inf1"
"X5_12_18","Inf1"
"X5_12_19","Inf1"
"X5_15_19","Inf1"
"X5_13_19","Inf1"
"X5_14_19","Inf1"
"X5_15_20","Inf1"
"X5_14_20","Inf1"
"X5_13_20","Inf1"
"X5_12_20","Inf1"
"X5_13_21","Inf1"
"X5_14_21","Inf1"
"X5_12_21","Inf1"
"X5_12_22","Inf1"
"X5_13_22","Inf1"
"X5_18_21","Inf2"
"X5_17_21","Inf2"
"X5_16_21","Inf2"
"X5_18_22","Inf2"
"X5_17_22","Inf2"
"X5_16_22","Inf2"
"X5_15_22","Inf2"
"X5_18_23","Inf2"
"X5_17_23","Inf2"
"X5_16_23","Inf2"
"X5_14_23","Inf2"
"X5_15_23","Inf2"
"X5_18_24","Inf2"
"X5_17_24","Inf2"
"X5_16_24","Inf2"
"X5_15_24","Inf2"
"X5_14_24","Inf2"
"X5_20_25","Inf2"
"X5_17_25","Inf2"
"X5_15_25","Inf2"
"X5_16_25","Inf2"
"X5_18_26","Inf2"
"X5_15_26","Inf2"
"X5_19_26","Inf2"
"X5_17_26","Inf2"
"X5_16_26","Inf2"
"X5_19_27","Inf2"
"X5_18_27","Inf2"
"X5_17_27","Inf2"
"X5_23_24","Inf3"
"X5_22_25","Inf3"
"X5_23_25","Inf3"
"X5_24_25","Inf3"
"X5_22_26","Inf3"
"X5_23_26","Inf3"
"X5_27_23","Inf4"
"X5_28_24","Inf4"
"X5_27_24","Inf4"
"X5_26_24","Inf4"
"X5_28_25","Inf4"
"X5_27_25","Inf4"
"X5_26_25","Inf4"
"X5_28_26","Inf4"
"X5_27_26","Inf4"
"X5_26_26","Inf4"
"X5_32_22","Inf5"
"X5_31_22","Inf5"
"X5_32_23","Inf5"
"X5_31_23","Inf5"
"X5_32_24","Inf5"
"X5_31_24","Inf5"
"X5_28_14","Inf6"
"X5_27_14","Inf6"
"X5_29_15","Inf6"
"X5_27_15","Inf6"
"X5_28_15","Inf6"
"X5_26_15","Inf6"
"X5_25_15","Inf6"
"X5_29_16","Inf6"
"X5_27_16","Inf6"
"X5_28_16","Inf6"
"X5_26_16","Inf6"
"X5_25_16","Inf6"
"X5_29_17","Inf6"
"X5_28_17","Inf6"
"X5_27_17","Inf6"
"X5_26_17","Inf6"
"X5_25_17","Inf6"
"X5_27_18","Inf6"
"X5_28_18","Inf6"
"X5_26_18","Inf6"
"X5_25_18","Inf6"
"X5_24_18","Inf6"
"X5_26_19","Inf6"
