V1	V2	V3
X4_25_11	1.89834160361985	-22.020407805886	-20.2662108504812
X4_26_11	0.734149004387481	-20.1234708576172	-5.64391765280832
X4_25_12	1.06530427021354	-27.6515583324613	-17.1856724773339
X4_26_12	0.181417617131919	-19.8118371869342	-6.18485823400126
X4_24_12	1.41017901124168	-28.8644353048374	-23.8644925612043
X4_25_13	1.63202091731424	-23.5904903282487	-17.5792701219812
X4_23_13	2.11643869595411	-32.7726614370473	-23.6109397006495
X4_24_13	1.17108734834117	-29.5485345970442	-21.3195976171453
X4_14_13	1.86837316326469	-18.6087818014054	-21.7616157052752
X4_26_13	-16.9677837049609	1.5124517146246	-1.58579284783976
X4_23_14	0.070467882761901	-20.4950069178574	-23.9302585457606
X4_12_14	-1.65404754465166	-26.4175948625055	-17.7826160177331
X4_14_14	1.64755836327614	-29.503579604029	-26.6621902360383
X4_13_14	1.80210059329625	-33.2829476500225	-22.8248251530262
X4_12_15	2.1386159331304	-33.9622042795986	-23.7140328449846
X4_12_17	2.27096675260294	-34.063495791784	-24.8719160263105
X4_30_17	-12.187853954842	-13.0149341869788	0.984140986766099
X4_11_17	0.281368834927375	-29.0739050203348	-12.516621393208
X4_13_17	0.912685665670599	-28.1042617457974	-26.688398466136
X4_16_17	1.14363942158621	-20.0842400225029	-21.8804567855759
X4_30_18	-13.019750894794	-13.2832534630007	0.208771462985243
X4_16_18	2.49014687965011	-17.9691925757046	-23.8037569461174
X4_11_18	-2.18364050095736	-25.0937718547408	-8.40417173718205
X4_12_18	1.08005509177687	-29.5756479712225	-26.0365292563013
X4_15_18	0.531428139105423	4.50137377859975	-12.152888454394
X4_13_18	-1.31799901895459	-26.5163025616958	-16.2642575258518
X4_11_19	0.953755521757179	-30.6138319697792	-16.0650238858888
X4_12_19	-1.43020103607936	-27.351514335271	-24.8959633948855
X4_16_19	2.23774137204407	-17.0676046065368	-24.0955811602891
X4_25_19	-5.19104892654182	-19.6872184525339	-0.093896982720677
X4_24_19	-5.68469951793487	-9.78228307013844	-3.48985778867225
X4_27_19	-4.21641058727874	-16.4389805670208	7.49640886581472
X4_14_19	-1.82052562007473	-11.8075274415282	-13.4299185086699
X4_15_19	2.46499128855795	-19.0903376637519	-23.1074599892009
X4_26_19	-4.41725273837819	-18.7473680775564	-0.285571806145702
X4_28_20	-4.67641049540792	-18.2663208707624	1.71850920016512
X4_22_20	-20.5185006871075	1.96509970118851	2.79588473347301
X4_27_20	-4.80543976464386	-16.9996256276467	4.90372942642342
X4_13_20	-0.340351804128812	17.9305808751759	-2.50127420073035
X4_24_20	-5.24097312570095	-18.5987182280739	3.60332201100557
X4_25_20	-4.93929008629176	-21.3666882602513	1.36599210795449
X4_15_20	1.55626286425129	-22.8895876397434	-22.9045165998694
X4_26_20	-5.98194102476626	-21.9392817316497	1.14577736768851
X4_14_20	-0.694008782894616	-27.4842791848084	-18.5471051029891
X4_21_20	6.79460763189646	3.38334957488686	-3.61743472540969
X4_16_20	4.10258248976778	-10.3841187408025	-23.2321032048005
X4_23_21	-17.6532110482284	5.56577882493588	8.81122209519202
X4_27_21	-5.76214428111988	-19.3589354071575	1.83072342510341
X4_13_21	-3.84515151027958	-19.932974612872	2.46636900620691
X4_22_21	-5.63340091942689	-17.6034757962198	-10.1982548951987
X4_16_21	-0.390414573303416	-12.9722574582206	-13.9124463112985
X4_17_21	2.2164038290223	16.0202635949898	-3.76531243841026
X4_26_21	-15.1919596237353	-10.7066138839379	1.74696968238405
X4_25_21	-10.3732049810754	-12.3444037863411	3.13160335304307
X4_14_21	0.981154952275505	-30.3500702144292	-16.5026818768516
X4_21_21	-4.05314033080808	-17.4991253618331	-10.8712585668345
X4_15_21	0.116579370036773	-27.7654532998021	-17.2424379006336
X4_21_22	-10.6855018287949	-13.7109220776041	0.195682174325914
X4_17_22	4.37351853954621	6.6079388882263	-9.28565258965314
X4_16_22	-0.482753165793594	-24.7844746499435	-12.4140399247065
X4_18_22	-6.12798531353576	3.73870604186935	-8.9550022856028
X4_15_22	1.11549309794198	-28.7937489534678	-14.5890325435819
X4_13_22	-6.37676437460141	-20.0487533263383	-0.904341272316527
X4_14_22	0.597151294858247	-29.2498462455931	-13.3952292659449
X4_17_23	4.42279908813935	-18.9351537337438	-0.171209876201523
X4_16_23	-7.53305727096166	3.38428944676664	-6.54887842409203
X4_15_23	-5.20712521706887	-22.5059901201437	-0.0644172122295303
X5_23_9	1.46173724778839	-9.1416274762216	0.412289377178545
X5_24_9	1.38457093639244	-9.14022454827232	0.34654863384204
X5_22_10	6.23522931061996	4.60506840894994	-6.39493458459303
X5_23_10	1.18583944190176	-15.6588050207051	-20.614565867754
X5_25_10	-2.5107616206273	-21.6623551069518	-12.7790567582167
X5_24_10	-0.0613905880706083	-14.4343701245648	-17.2850189517252
X5_22_11	1.22989512070246	-19.6944613558866	-23.5363033698066
X5_24_11	-0.34352429774962	-25.4777882143763	-18.878618650786
X5_23_11	1.34143556112075	-28.8544418113934	-21.1262180515018
X5_25_11	-0.296706739618209	-12.9944959763441	-13.4055808022517
X5_22_12	1.50794510927543	-29.4061070213735	-25.1482858530619
X5_11_12	-4.60088705887816	-21.8689950486313	-11.0615946981649
X5_23_12	1.22015350164517	-26.2945362542128	-23.4103579525009
X5_24_12	0.836629195638252	-19.0827570559238	-22.0199770334778
X5_25_12	-8.846561965328	3.15596648051621	-2.17907406414853
X5_21_12	2.64945396270743	-20.653453114595	-22.1209933521114
X5_22_13	1.75362076074247	-30.0411167479984	-25.5202985159811
X5_23_13	1.69948099950289	-26.1577211961046	-23.2268225287285
X5_12_13	-0.66966293629475	-27.0368275076844	-16.8762270889586
X5_11_13	-13.8302279175308	-11.7386519824495	0.712564707858988
X5_24_13	3.01289538437665	-14.1272567658401	-22.826062200127
X5_9_13	15.7817583718286	-5.91367582419832	17.2873725126101
X5_25_13	-5.30170770989736	9.65188456754686	-11.0739125757378
X5_21_13	1.95487696932341	-22.9802351203957	-21.9906707994569
X5_10_13	-13.0079499919971	-12.4845868127091	0.818417939763112
X5_23_14	0.37573078390856	5.60849718117689	-12.6034837496153
X5_12_14	-0.104591621039525	-30.0244903719874	-19.5169272807743
X5_22_14	2.1284711362768	-18.6696183832877	-24.0252249967677
X5_11_14	-1.77695725738099	-27.6212505410636	-17.1785859935616
X5_9_14	10.0488597779034	-10.1579749418474	7.99661529926775
X5_13_14	1.61675396565174	-21.4844898141325	-24.7372396764511
X5_10_14	-2.12656680104259	-25.317886231599	-14.4743794139448
X5_11_15	1.52696010123914	-33.9104549776471	-23.9789380801723
X5_13_15	-0.749316206971464	-23.326249331548	-25.7230467924128
X5_9_15	-11.178421979708	-9.44573135949191	2.61799246820523
X5_10_15	-2.15018068377519	-26.2370579269985	-17.230818886791
X5_12_15	1.7187317882277	-33.274025472218	-24.6588254524312
X5_11_16	0.888120386491456	-34.2438188755732	-23.5757810337049
X5_30_16	-5.95791235415876	-17.5820933701906	-11.3938558609468
X5_12_16	0.385746378920658	-34.1316786911331	-23.4060701296481
X5_29_16	-13.2907511817256	-11.8541256752335	-0.131204788199547
X5_9_16	17.5123282031318	2.12494572415905	23.0803173824297
X5_13_16	0.816997840162728	-22.3999576255495	-25.6048136394277
X5_10_16	-1.8650181335094	-29.216644056283	-16.5279759298601
X5_12_17	2.77174179358299	-33.2274721545292	-24.7825900937128
X5_11_17	-2.05997523496267	-30.2790823604643	-17.7738321214911
X5_30_17	-5.64014872668875	-22.3335060574874	-13.4838803826382
X5_10_17	-1.7892837584912	-24.3546209884901	-7.93816480831993
X5_11_18	2.24398643300445	-32.4803558685162	-23.1233980421234
X5_10_18	-1.44166116489586	-26.6842039057488	-9.85325380185786
X5_12_18	1.81696189924466	-33.1291742910996	-25.8084753061465
X5_25_18	0.626114953789947	-7.54773823103663	8.29412354867503
X5_16_18	1.18463040750201	-22.0788946953367	-25.4779846393551
X5_26_18	-4.88672433800066	-20.1048024052492	0.252698391107468
X5_13_18	1.11037523974578	-21.8239297574115	-25.9874992164486
X5_15_18	3.83627782460103	-12.2568239170689	-17.7186137191488
X5_27_18	-4.55173526644542	-19.163131930315	0.115180760693865
X5_27_19	-4.65672798336539	-21.8596547226869	1.03091634725839
X5_12_19	2.0623776491726	-32.4574923023827	-26.0825227465753
