pix_x	pix_y
49_51	7360	8444.195
36_56	5233.778	9342.513
28_32	3925.333	5030.584
45_49	6705.778	8084.867
18_30	2289.778	4671.257
46_46	6869.333	7545.876
29_43	4088.889	7006.885
17_39	2126.222	6288.23
33_33	4743.111	5210.248
43_35	6378.667	5569.575
29_51	4088.889	8444.195
25_43	3434.667	7006.885
35_45	5070.222	7366.212
22_28	2944	4311.929
28_34	3925.333	5389.912
27_43	3761.778	7006.885
27_39	3761.778	6288.23
23_45	3107.556	7366.212
16_40	1962.667	6467.894
35_41	5070.222	6647.558
38_36	5560.889	5749.239
25_39	3434.667	6288.23
38_52	5560.889	8623.858
18_36	2289.778	5749.239
23_39	3107.556	6288.23
44_34	6542.222	5389.912
24_28	3271.111	4311.929
29_37	4088.889	5928.903
17_43	2126.222	7006.885
44_44	6542.222	7186.549
40_48	5888	7905.204
27_33	3761.778	5210.248
45_47	6705.778	7725.54
34_44	4906.667	7186.549
25_41	3434.667	6647.558
21_33	2780.444	5210.248
20_28	2616.889	4311.929
31_33	4416	5210.248
41_45	6051.556	7366.212
21_35	2780.444	5569.575
43_43	6378.667	7006.885
43_41	6378.667	6647.558
37_41	5397.333	6647.558
19_35	2453.333	5569.575
41_49	6051.556	8084.867
46_52	6869.333	8623.858
20_48	2616.889	7905.204
41_37	6051.556	5928.903
33_31	4743.111	4850.92
35_43	5070.222	7006.885
23_29	3107.556	4491.593
34_42	4906.667	6827.221
44_50	6542.222	8264.531
24_40	3271.111	6467.894
45_43	6705.778	7006.885
31_53	4416	8803.522
17_41	2126.222	6647.558
41_39	6051.556	6288.23
42_54	6215.111	8983.186
34_46	4906.667	7545.876
38_46	5560.889	7545.876
45_37	6705.778	5928.903
48_38	7196.444	6108.566
39_37	5724.444	5928.903
37_53	5397.333	8803.522
26_48	3598.222	7905.204
44_38	6542.222	6108.566
46_40	6869.333	6467.894
42_44	6215.111	7186.549
22_46	2944	7545.876
43_37	6378.667	5928.903
40_46	5888	7545.876
28_30	3925.333	4671.257
47_45	7032.889	7366.212
36_44	5233.778	7186.549
37_45	5397.333	7366.212
43_51	6378.667	8444.195
18_34	2289.778	5389.912
41_41	6051.556	6647.558
22_36	2944	5749.239
36_48	5233.778	7905.204
23_43	3107.556	7006.885
42_42	6215.111	6827.221
39_49	5724.444	8084.867
