image	x_y	x	y	value
2018DiamondCNO-254_E2	14_30	14	30	Synovial cell hyperplasia
2018DiamondCNO-254_E2	33_43	33	43	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	51_33	51	33	Unknown
2018DiamondCNO-254_E2	27_49	27	49	Synovial stroma
2018DiamondCNO-254_E2	28_20	28	20	Synovial stroma
2018DiamondCNO-254_E2	37_49	37	49	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	18_50	18	50	Synovial stroma
2018DiamondCNO-254_E2	17_23	17	23	Synovial stroma
2018DiamondCNO-254_E2	29_51	29	51	Infiltrate
2018DiamondCNO-254_E2	41_53	41	53	Unknown
2018DiamondCNO-254_E2	18_30	18	30	Synovial cell hyperplasia
2018DiamondCNO-254_E2	15_39	15	39	Synovial cell hyperplasia
2018DiamondCNO-254_E2	13_31	13	31	Synovial cell hyperplasia
2018DiamondCNO-254_E2	22_16	22	16	Synovial cell hyperplasia
2018DiamondCNO-254_E2	44_36	44	36	Infiltrate
2018DiamondCNO-254_E2	14_50	14	50	Synovial stroma
2018DiamondCNO-254_E2	16_48	16	48	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	42_48	42	48	Synovial stroma
2018DiamondCNO-254_E2	35_37	35	37	Synovial stroma
2018DiamondCNO-254_E2	17_53	17	53	Synovial stroma
2018DiamondCNO-254_E2	39_45	39	45	Synovial stroma
2018DiamondCNO-254_E2	41_29	41	29	Synovial stroma
2018DiamondCNO-254_E2	35_29	35	29	Synovial stroma
2018DiamondCNO-254_E2	22_34	22	34	Synovial cell hyperplasia
2018DiamondCNO-254_E2	17_47	17	47	Synovial stroma
2018DiamondCNO-254_E2	23_35	23	35	Synovial cell hyperplasia
2018DiamondCNO-254_E2	11_29	11	29	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	34_26	34	26	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	37_25	37	25	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	39_47	39	47	Synovial stroma
2018DiamondCNO-254_E2	26_46	26	46	Synovial stroma
2018DiamondCNO-254_E2	18_24	18	24	Synovial stroma
2018DiamondCNO-254_E2	45_51	45	51	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	46_44	46	44	Synovial stroma
2018DiamondCNO-254_E2	21_53	21	53	Synovial stroma
2018DiamondCNO-254_E2	17_27	17	27	Synovial stroma
2018DiamondCNO-254_E2	28_54	28	54	Synovial stroma
2018DiamondCNO-254_E2	10_42	10	42	Unknown
2018DiamondCNO-254_E2	46_36	46	36	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	48_22	48	22	Unknown
2018DiamondCNO-254_E2	26_54	26	54	Synovial stroma
2018DiamondCNO-254_E2	22_38	22	38	Synovial stroma
2018DiamondCNO-254_E2	42_44	42	44	Synovial stroma
2018DiamondCNO-254_E2	27_55	27	55	Synovial stroma
2018DiamondCNO-254_E2	42_46	42	46	Infiltrate
2018DiamondCNO-254_E2	21_51	21	51	Synovial stroma
2018DiamondCNO-254_E2	7_51	7	51	Unknown
2018DiamondCNO-254_E2	8_44	8	44	Unknown
2018DiamondCNO-254_E2	18_46	18	46	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	45_35	45	35	Infiltrate
2018DiamondCNO-254_E2	9_33	9	33	Synovial cell hyperplasia
2018DiamondCNO-254_E2	24_48	24	48	Unknown
2018DiamondCNO-254_E2	40_52	40	52	Synovial stroma
2018DiamondCNO-254_E2	33_31	33	31	Synovial stroma
2018DiamondCNO-254_E2	17_33	17	33	Synovial cell hyperplasia
2018DiamondCNO-254_E2	36_32	36	32	Synovial stroma
2018DiamondCNO-254_E2	20_34	20	34	Synovial cell hyperplasia
2018DiamondCNO-254_E2	32_52	32	52	Synovial cell hyperplasia
2018DiamondCNO-254_E2	27_33	27	33	Synovial cell hyperplasia
2018DiamondCNO-254_E2	41_21	41	21	Unknown
2018DiamondCNO-254_E2	25_47	25	47	Unknown
2018DiamondCNO-254_E2	21_45	21	45	Unknown
2018DiamondCNO-254_E2	27_35	27	35	Synovial cell hyperplasia
2018DiamondCNO-254_E2	38_46	38	46	Infiltrate
2018DiamondCNO-254_E2	34_28	34	28	Synovial stroma
2018DiamondCNO-254_E2	49_25	49	25	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	18_16	18	16	Synovial stroma
2018DiamondCNO-254_E2	33_35	33	35	Synovial stroma
2018DiamondCNO-254_E2	12_20	12	20	Synovial stroma
2018DiamondCNO-254_E2	15_17	15	17	Synovial stroma
2018DiamondCNO-254_E2	14_34	14	34	Synovial cell hyperplasia
2018DiamondCNO-254_E2	10_36	10	36	Synovial stroma
2018DiamondCNO-254_E2	40_26	40	26	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	20_56	20	56	Synovial stroma
2018DiamondCNO-254_E2	34_20	34	20	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	28_48	28	48	Infiltrate
2018DiamondCNO-254_E2	19_15	19	15	Synovial stroma
2018DiamondCNO-254_E2	47_47	47	47	Synovial stroma
2018DiamondCNO-254_E2	19_21	19	21	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	24_26	24	26	Synovial stroma
2018DiamondCNO-254_E2	46_28	46	28	Synovial stroma
2018DiamondCNO-254_E2	14_40	14	40	Synovial cell hyperplasia
2018DiamondCNO-254_E2	20_22	20	22	Synovial stroma
2018DiamondCNO-254_E2	47_25	47	25	Synovial stroma
2018DiamondCNO-254_E2	23_31	23	31	Synovial cell hyperplasia
2018DiamondCNO-254_E2	28_36	28	36	Synovial cell hyperplasia
2018DiamondCNO-254_E2	19_51	19	51	Synovial stroma
2018DiamondCNO-254_E2	21_59	21	59	Synovial stroma
2018DiamondCNO-254_E2	15_55	15	55	Synovial stroma
2018DiamondCNO-254_E2	22_52	22	52	Synovial stroma
2018DiamondCNO-254_E2	6_42	6	42	Unknown
2018DiamondCNO-254_E2	22_36	22	36	Synovial cell hyperplasia
2018DiamondCNO-254_E2	41_31	41	31	Synovial cell hyperplasia
2018DiamondCNO-254_E2	42_32	42	32	Unknown
2018DiamondCNO-254_E2	39_29	39	29	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	41_41	41	41	Synovial stroma
2018DiamondCNO-254_E2	52_28	52	28	Unknown
2018DiamondCNO-254_E2	29_31	29	31	Synovial stroma
2018DiamondCNO-254_E2	13_23	13	23	Synovial stroma
2018DiamondCNO-254_E2	25_19	25	19	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	29_19	29	19	Synovial stroma
2018DiamondCNO-254_E2	35_53	35	53	Unknown
2018DiamondCNO-254_E2	22_28	22	28	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	19_59	19	59	Synovial stroma
2018DiamondCNO-254_E2	11_45	11	45	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	10_30	10	30	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	35_47	35	47	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	17_37	17	37	Synovial cell hyperplasia
2018DiamondCNO-254_E2	27_31	27	31	Synovial cell hyperplasia
2018DiamondCNO-254_E2	21_43	21	43	Synovial stroma
2018DiamondCNO-254_E2	24_24	24	24	Synovial stroma
2018DiamondCNO-254_E2	12_38	12	38	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	34_42	34	42	Infiltrate
2018DiamondCNO-254_E2	18_40	18	40	Infiltrate;Synovial stroma
2018DiamondCNO-254_E2	43_21	43	21	Synovial stroma
2018DiamondCNO-254_E2	38_20	38	20	Unknown
2018DiamondCNO-254_E2	12_22	12	22	Synovial stroma
2018DiamondCNO-254_E2	26_20	26	20	Synovial stroma
2018DiamondCNO-254_E2	40_44	40	44	Synovial stroma
2018DiamondCNO-254_E2	23_55	23	55	Synovial stroma
2018DiamondCNO-254_E2	20_60	20	60	Synovial stroma
2018DiamondCNO-254_E2	10_32	10	32	Synovial cell hyperplasia
2018DiamondCNO-254_E2	14_32	14	32	Synovial cell hyperplasia
2018DiamondCNO-254_E2	8_34	8	34	Unknown
