image	x_y	x	y	value
RA6_C2	24.07_46.09	24.07	46.09	Synovial stroma
RA6_C2	29.2_46.96	29.2	46.96	Infiltrate;Synovial stroma
RA6_C2	22.08_42.18	22.08	42.18	Synovial stroma
RA6_C2	33.19_55.03	33.19	55.03	Synovial cell hyperplasia;Synovial stroma
RA6_C2	47.09_46.86	47.09	46.86	Synovial stroma
RA6_C2	37.17_56.93	37.17	56.93	Synovial stroma
RA6_C2	27.21_50.97	27.21	50.97	Synovial cell hyperplasia
RA6_C2	23.07_45.14	23.07	45.14	Synovial stroma
RA6_C2	21.15_45.18	21.15	45.18	Synovial stroma
RA6_C2	23.99_32.11	23.99	32.11	Infiltrate;Synovial stroma
RA6_C2	35.1_40.82	35.1	40.82	Synovial stroma
RA6_C2	23.98_36.13	23.98	36.13	Synovial stroma
RA6_C2	37.09_38.84	37.09	38.84	Synovial stroma
RA6_C2	44.13_37.92	44.13	37.92	Synovial stroma
RA6_C2	20.25_48.13	20.25	48.13	Synovial stroma
RA6_C2	20.06_28.16	20.06	28.16	Synovial stroma
RA6_C2	16.07_28.13	16.07	28.13	Synovial stroma
RA6_C2	21.12_47.09	21.12	47.09	Synovial stroma
RA6_C2	16.11_30.16	16.11	30.16	Synovial stroma
RA6_C2	32.1_38.03	32.1	38.03	Infiltrate
RA6_C2	38.11_36.06	38.11	36.06	Synovial stroma
RA6_C2	23.06_43.17	23.06	43.17	Synovial stroma
RA6_C2	47.15_50.9	47.15	50.9	Synovial cell hyperplasia;Synovial stroma
RA6_C2	43.16_44.94	43.16	44.94	Synovial stroma
RA6_C2	29.1_30.93	29.1	30.93	Synovial stroma
RA6_C2	27.08_36.95	27.08	36.95	Synovial stroma
RA6_C2	28.25_51.94	28.25	51.94	Synovial cell hyperplasia
RA6_C2	14.11_39.17	14.11	39.17	Synovial stroma
RA6_C2	21.07_37.18	21.07	37.18	Synovial stroma
RA6_C2	41.25_51.03	41.25	51.03	Synovial stroma
RA6_C2	45.26_52.94	45.26	52.94	Infiltrate;Synovial stroma
RA6_C2	35.16_48.91	35.16	48.91	Synovial stroma
RA6_C2	27.22_48.94	27.22	48.94	Synovial stroma
RA6_C2	30.05_36.07	30.05	36.07	Synovial stroma
RA6_C2	31.13_43.06	31.13	43.06	Infiltrate
RA6_C2	44.13_39.92	44.13	39.92	Synovial stroma
RA6_C2	38.17_37.99	38.17	37.99	Synovial stroma
RA6_C2	28.05_31.95	28.05	31.95	Synovial stroma
RA6_C2	19.95_30.14	19.95	30.14	Synovial stroma
RA6_C2	40.34_57.97	40.34	57.97	Synovial cell hyperplasia;Unknown
RA6_C2	36.18_53.93	36.18	53.93	Synovial stroma
RA6_C2	30.08_38.08	30.08	38.08	Synovial stroma
RA6_C2	19.11_41.16	19.11	41.16	Synovial stroma
RA6_C2	21.78_28.07	21.78	28.07	Infiltrate
RA6_C2	49.08_38.86	49.08	38.86	Synovial stroma
RA6_C2	42.24_47.99	42.24	47.99	Synovial stroma
RA6_C2	33.99_35.87	33.99	35.87	Infiltrate
RA6_C2	40.16_43.96	40.16	43.96	Synovial stroma
RA6_C2	27.16_46.95	27.16	46.95	Infiltrate;Synovial stroma
RA6_C2	37.17_58.85	37.17	58.85	Synovial cell hyperplasia
RA6_C2	42.23_45.91	42.23	45.91	Synovial stroma
RA6_C2	35.05_46.96	35.05	46.96	Synovial stroma
RA6_C2	18_32.11	18	32.11	Synovial stroma
RA6_C2	40.14_33.99	40.14	33.99	Synovial stroma
RA6_C2	42.13_39.91	42.13	39.91	Synovial stroma
RA6_C2	39.14_43	39.14	43	Synovial stroma
RA6_C2	32.08_34.04	32.08	34.04	Synovial stroma
