"","infiltrate"
"X3_15_16","Inf1"
"X3_16_16","Inf1"
"X3_17_17","Inf1"
"X3_16_17","Inf1"
"X3_15_17","Inf1"
"X3_14_17","Inf1"
"X3_17_18","Inf1"
"X3_16_18","Inf1"
"X3_14_18","Inf1"
"X3_15_18","Inf1"
"X3_15_19","Inf1"
"X3_14_19","Inf1"
"X3_16_19","Inf1"
"X3_13_19","Inf1"
"X3_16_20","Inf1"
"X3_14_20","Inf1"
"X3_15_20","Inf1"
"X3_13_20","Inf1"
"X3_15_21","Inf1"
"X3_14_21","Inf1"
"X3_13_21","Inf1"
"X3_15_22","Inf1"
"X3_13_22","Inf1"
"X3_14_22","Inf1"
"X3_14_23","Inf1"
"X3_13_23","Inf1"
"X3_14_24","Inf1"
"X3_18_22","Inf2"
"X3_19_22","Inf2"
"X3_18_23","Inf2"
"X3_17_23","Inf2"
"X3_19_23","Inf2"
"X3_19_24","Inf2"
"X3_18_24","Inf2"
"X3_17_24","Inf2"
"X3_16_24","Inf2"
"X3_17_25","Inf2"
"X3_18_25","Inf2"
"X3_19_25","Inf2"
"X3_16_25","Inf2"
"X3_18_26","Inf2"
"X3_19_26","Inf2"
"X3_15_26","Inf2"
"X3_16_26","Inf2"
"X3_17_26","Inf2"
"X3_20_27","Inf2"
"X3_19_27","Inf2"
"X3_18_27","Inf2"
"X3_18_28","Inf2"
"X3_19_28","Inf2"
"X3_24_25","Inf3"
"X3_25_25","Inf3"
"X3_25_26","Inf3"
"X3_24_26","Inf3"
"X3_23_26","Inf3"
"X3_23_27","Inf3"
"X3_24_27","Inf3"
"X3_29_24","Inf4"
"X3_28_24","Inf4"
"X3_27_24","Inf4"
"X3_30_25","Inf4"
"X3_28_25","Inf4"
"X3_29_25","Inf4"
"X3_27_25","Inf4"
"X3_26_25","Inf4"
"X3_29_26","Inf4"
"X3_28_26","Inf4"
"X3_27_26","Inf4"
"X3_32_23","Inf5"
"X3_31_23","Inf5"
"X3_32_24","Inf5"
"X3_31_24","Inf5"
"X3_28_16","Inf6"
"X3_29_17","Inf6"
"X3_28_17","Inf6"
"X3_27_17","Inf6"
"X3_25_17","Inf6"
"X3_26_17","Inf6"
"X3_29_18","Inf6"
"X3_28_18","Inf6"
"X3_27_18","Inf6"
"X3_26_18","Inf6"
"X3_29_19","Inf6"
"X3_28_19","Inf6"
"X3_27_19","Inf6"
"X3_26_19","Inf6"
"X3_25_19","Inf6"
"X3_25_20","Inf6"
