image	x_y	x	y	value
RA6_D1	55.29_38.77	55.29	38.77	Synovial stroma;Unknown
RA6_D1	42.22_35.94	42.22	35.94	Synovial stroma
RA6_D1	25.11_45.13	25.11	45.13	Collagenous/Adipose tissue
RA6_D1	49.16_38.88	49.16	38.88	Synovial stroma
RA6_D1	37.11_34.88	37.11	34.88	Synovial stroma
RA6_D1	43.33_40.95	43.33	40.95	Synovial stroma
RA6_D1	22.98_35.16	22.98	35.16	Synovial cell hyperplasia;Synovial stroma
RA6_D1	44.35_53.95	44.35	53.95	Synovial stroma
RA6_D1	52.26_45.84	52.26	45.84	Collagenous/Adipose tissue
RA6_D1	40.37_52	40.37	52	Synovial stroma
RA6_D1	37.24_38.87	37.24	38.87	Synovial stroma
RA6_D1	49.24_50.91	49.24	50.91	Synovial stroma
RA6_D1	53.34_52.81	53.34	52.81	Infiltrate;Synovial stroma
RA6_D1	48.26_47.92	48.26	47.92	Synovial stroma
RA6_D1	53.25_42.83	53.25	42.83	Synovial stroma
RA6_D1	52.36_53.81	52.36	53.81	Infiltrate
RA6_D1	43.36_52.92	43.36	52.92	Synovial stroma
RA6_D1	27.28_44.94	27.28	44.94	Synovial stroma
RA6_D1	37.11_36.88	37.11	36.88	Synovial stroma
RA6_D1	48.34_57.86	48.34	57.86	Synovial cell hyperplasia
RA6_D1	30.27_48.06	30.27	48.06	Synovial stroma
RA6_D1	44.24_39.91	44.24	39.91	Synovial stroma
RA6_D1	37.1_32.91	37.1	32.91	Synovial stroma;Unknown
RA6_D1	35.27_54.91	35.27	54.91	Synovial cell hyperplasia
RA6_D1	36.14_37.87	36.14	37.87	Synovial stroma
RA6_D1	48.23_43.9	48.23	43.9	Synovial stroma
RA6_D1	35.03_32.88	35.03	32.88	Synovial stroma;Unknown
RA6_D1	29.27_42.93	29.27	42.93	Collagenous/Adipose tissue
RA6_D1	56.43_51.79	56.43	51.79	Synovial stroma
RA6_D1	24.04_38.15	24.04	38.15	Synovial stroma
RA6_D1	32.15_36.05	32.15	36.05	Synovial stroma
RA6_D1	35.18_50.96	35.18	50.96	Synovial stroma
RA6_D1	35.26_52.88	35.26	52.88	Synovial stroma
RA6_D1	39.33_44.99	39.33	44.99	Synovial stroma;Unknown
RA6_D1	45.29_46.93	45.29	46.93	Synovial stroma
