V1	V2
X3_56_50	0.658389222532431	0.919180594942524
X3_46_56	0.849105142722813	0.614639845163584
X3_40_44	0.396420570891255	0.466179559893892
X3_33_51	0.631711429578896	0.246851056787509
X3_47_55	0.815492162910292	0.645972488464498
X3_31_39	0.189988816432077	0.214935661491293
X3_28_46	0.436241633804457	0.112152048358386
X3_34_52	0.670805388733786	0.273790858473337
X3_59_55	0.848378038964505	0.995607158384914
X3_49_59	0.966387020187483	0.695459250221056
X3_36_38	0.167337795304295	0.362813194765678
X3_43_57	0.877237143192968	0.525034756875936
X3_33_39	0.195469795774446	0.27320810647803
X3_48_46	0.49105142722814	0.694876498225753
X3_40_56	0.832662204695712	0.439822510203374
X3_43_53	0.731823265258146	0.533820440106105
X3_53_49	0.613814284035172	0.833968348269963
X3_48_44	0.418344488260729	0.699269339840839
X3_59_53	0.775671099997094	1
X3_45_41	0.301062610796063	0.618449934783364
X3_47_57	0.888199101877703	0.641579646849408
X3_48_58	0.927293061032593	0.668519448535232
X3_38_44	0.390939591548889	0.407907114907157
X3_57_45	0.479362364785093	0.959298921473611
X3_35_41	0.273657714084226	0.327087709849678
X3_42_52	0.69272930610326	0.506880638420281
X3_45_55	0.810011183567926	0.58770004347776
X3_48_52	0.709172244130365	0.681697973380494
X3_55_49	0.619295263377541	0.8922407932567
X3_50_52	0.714653223472734	0.739970418367232
X3_39_57	0.866275184508233	0.40848986690246
X3_38_46	0.4636465305163	0.403514273292068
X3_36_54	0.748993307043566	0.327670461844985
X3_38_48	0.536353469483704	0.399121431676985
X3_37_45	0.42455257136141	0.376574471606244
X3_28_40	0.218120816902228	0.125330573203648
X3_33_37	0.122762856807036	0.277600948093117
X3_44_58	0.916331102347858	0.55197455856176
X3_57_43	0.406655425817682	0.963691763088697
X3_45_57	0.882718122535337	0.58330720186267
X3_56_52	0.731096161499838	0.914787753327438
X3_40_36	0.105592815021623	0.483750926354237
X3_36_40	0.240044734271702	0.358420353150592
X3_45_43	0.37376954976347	0.614057093168277
X3_42_40	0.256487672298807	0.533237688110802
X3_43_45	0.440995509388515	0.551391806566453
X3_34_46	0.452684571831558	0.286969383318596
X3_47_47	0.52466440704066	0.663543854924843
X3_33_47	0.486297551644082	0.255636740017685
X3_26_42	0.28534677652727	0.0626652866018205
X3_28_42	0.290827755869639	0.120937731588558
X3_34_40	0.234563754929336	0.300147908163854
X3_48_60	1	0.664126606920146
X3_41_49	0.580928407980963	0.484333678349547
X3_36_48	0.530872490141338	0.340848986690247
X3_49_53	0.748266203285255	0.708637775066318
X3_52_46	0.502013385912875	0.811421388199225
X3_41_47	0.508221469013556	0.488726519964629
X3_38_42	0.318232652581479	0.41229995652224
X3_35_45	0.419071592019041	0.318302026619506
X3_36_42	0.312751673239109	0.354027511535506
X3_50_40	0.278411589668277	0.766327468057746
X3_41_39	0.217393713143917	0.506297886424978
X3_52_54	0.79284114178251	0.79385002173888
X3_39_51	0.648154367606004	0.421668391747719
X3_37_37	0.133724815491771	0.394145838066589
X3_28_48	0.508948572771867	0.1077592067433
X3_44_60	0.989038041315265	0.547581716946674
X3_37_53	0.715380327231042	0.359003105145899
X3_56_56	0.876510039434653	0.906002070097266
X3_53_53	0.75922816196999	0.82518266503979
X3_42_36	0.111073794363989	0.542023371340974
X3_45_45	0.44647648873088	0.609664251553191
X3_37_47	0.497259510328817	0.372181629991157
X3_46_40	0.267449630983542	0.649782578084274
X3_44_42	0.334675590608587	0.587117291482453
X3_25_45	0.391666695307197	0.026939801685824
X3_42_58	0.910850123005488	0.493702113575022
X3_30_46	0.441722613146823	0.170424493345124
X3_47_39	0.233836651171021	0.681115221385188
X3_38_38	0.172818774646661	0.421085639752416
X3_44_46	0.480089468543401	0.578331608252281
X3_58_54	0.809284079809615	0.96866735669909
X3_39_39	0.211912733801551	0.44802544143824
X3_26_44	0.358053715494677	0.0582724449867342
X3_56_48	0.585682283565021	0.923573436557614
X3_49_41	0.312024569480801	0.734994824756836
X3_44_54	0.770917224413036	0.560760241791932
X3_29_41	0.257214776057118	0.152270374889472
X3_34_54	0.743512327701197	0.269398016858251
X3_27_43	0.32444073568216	0.0896050882876445
X3_56_46	0.51297534459761	0.927966278172697
X3_44_50	0.625503346478219	0.569545925022108
X3_36_36	0.0946308563368845	0.367206036380765
X3_39_37	0.13920579483414	0.452418283053326
X3_54_44	0.434787426287834	0.874086674801049
X3_32_38	0.156375836619556	0.246268304792206
X3_45_37	0.155648732861248	0.627235618013536
X3_35_35	0.0555368971819981	0.340266234694941
X3_41_51	0.653635346948374	0.479940836734457
X3_44_48	0.552796407510808	0.573938766637191
X3_33_43	0.340883673709264	0.264422423247858
X3_50_42	0.351118528635688	0.761934626442663
X3_31_45	0.408109633334305	0.201757136646034
X3_49_47	0.530145386383026	0.721816299911577
X3_45_53	0.737304244600519	0.592092885092843
X3_45_39	0.228355671828655	0.62284277639845
X3_41_45	0.435514530046145	0.493119361579719
X3_37_49	0.569966449296228	0.367788788376071
X3_55_47	0.546588324410131	0.896633634871787
X3_32_46	0.447203592489192	0.228696938331858
X3_46_42	0.340156569950953	0.645389736469188
X3_42_46	0.474608489201035	0.520059163265543
X3_44_36	0.116554773706358	0.600295816327712
X3_48_40	0.272930610325911	0.708055023071012
X3_28_44	0.36353469483705	0.116544889973472
X3_50_54	0.787360162440145	0.735577576752142
X3_49_51	0.675559264317844	0.713030616681404
X3_28_34	0	0.138509098048903
X3_37_35	0.0610178765243674	0.398538679681675
X3_40_52	0.687248326760894	0.448608193433547
X3_28_36	0.0727069389674107	0.134116256433821
X3_35_47	0.491778530986448	0.313909185004423
X3_45_49	0.591890366665698	0.600878568323015
X3_27_41	0.251733796714749	0.0939979299027343
X3_52_44	0.429306446945468	0.815814229814311
X3_29_47	0.475335592959343	0.13909185004421
X3_55_45	0.47388138544272	0.901026476486873
X3_51_55	0.826454121595027	0.762517378437966
X3_34_36	0.0891498769945152	0.308933591394027
X3_30_48	0.514429552114233	0.166031651730034
X3_51_47	0.535626365725395	0.780088744898315
X3_57_41	0.333948486850272	0.968084604703783
X3_51_43	0.390212487790578	0.788874428128487
X3_42_48	0.547315428168442	0.515666321650453
X3_30_36	0.07818791830978	0.192388701420555
X3_52_40	0.283892569010646	0.824599913044484
X3_34_44	0.379977632864154	0.291362224933682
X3_53_45	0.468400406100354	0.842754031500135
X3_51_41	0.317505548823167	0.793267269743573
X3_54_50	0.652908243190058	0.86090814995579
X3_52_52	0.7201342028151	0.798242863353966
X3_49_39	0.239317630513391	0.739387666371922
X3_41_43	0.362807591078735	0.497512203194802
X3_52_48	0.574720324880285	0.807028546584139
X3_43_51	0.659116326290739	0.538213281721195
X3_43_49	0.586409387323329	0.542606123336281
X3_48_42	0.345637549293322	0.703662181455925
X3_43_55	0.804530204225557	0.529427598491022
X3_46_50	0.630984325820588	0.627818370008843
X3_45_51	0.664597305633109	0.596485726707932
X3_50_50	0.641946284505323	0.744363259982315
X3_53_41	0.322986528165536	0.851539714730308
X3_55_43	0.401174446475313	0.905419318101963
X3_51_45	0.462919426757985	0.784481586513401
X3_37_39	0.206431754459182	0.389752996451502
X3_30_40	0.223601796244598	0.183603018190379
X3_54_52	0.725615182157469	0.8565153083407
X3_29_35	0.03909395915489	0.165448899734727
X3_27_35	0.0336129798125206	0.107176454747993
X3_44_52	0.698210285445629	0.565153083407019
X3_24_42	0.279865797184904	0.00439284161508269
X3_47_45	0.45195746807325	0.667936696539925
X3_31_37	0.11728187746467	0.219328503106382
X3_56_42	0.367561466662792	0.936751961402869
X3_49_43	0.384731508448212	0.730601983141749
X3_43_47	0.513702448355925	0.546998964951367
X3_47_53	0.742785223942885	0.65036533007958
X3_42_50	0.620022367135853	0.511273480035371
X3_53_43	0.395693467132947	0.847146873115225
X3_31_35	0.0445749384972594	0.223721344721465
X3_46_54	0.776398203755409	0.619032686778667
X3_47_51	0.670078284975478	0.65475817169467
X3_39_41	0.284619672768962	0.443632599823154
X3_31_47	0.480816572301713	0.197364295030948
X3_50_44	0.423825467603095	0.757541784827577
X3_51_49	0.608333304692806	0.775695903283228
X3_52_42	0.356599507978057	0.820207071429401
X3_43_37	0.150167753518875	0.568963173026798
X3_24_44	0.352572736152315	0
X3_27_47	0.469854613616977	0.080819405057472
X3_30_42	0.296308735212005	0.179210176575296
X3_54_48	0.580201304222651	0.865300991570876
X3_55_41	0.328467507507902	0.909812159717045
X3_49_45	0.457438447415619	0.726209141526663
X3_33_45	0.413590612676675	0.260029581632768
X3_34_38	0.161856815961926	0.304540749778941
X3_30_34	0.0054809793423729	0.196781543035641
X3_49_49	0.602852325350433	0.717423458296491
X3_37_51	0.642673388263638	0.363395946760985
X3_46_44	0.41286350891836	0.640996894854101
X3_50_48	0.569239345537916	0.748756101597404
X3_29_37	0.111800898122301	0.161056058119645
X3_45_47	0.519183427698291	0.605271409938105
X3_51_39	0.244798609855756	0.79766011135866
X3_26_40	0.212639837559859	0.0670581282169103
X3_32_34	0.0109619586847423	0.255053988022379
X3_53_47	0.541107345067765	0.838361189885049
X3_54_40	0.289373548353016	0.882872358031221
X3_47_43	0.379250529105843	0.672329538155015
X3_46_46	0.48557044788577	0.636604053239015
X3_46_52	0.703691264787999	0.623425528393756
X3_54_46	0.507494365255241	0.869693833185963
