image	x_y	x	y	value
RA6_E2	33.9_37.93	33.9	37.93	Synovial stroma;Unknown
RA6_E2	58.84_28.81	58.84	28.81	Synovial stroma;Unknown
RA6_E2	58.04_49.87	58.04	49.87	Synovial stroma
RA6_E2	55.96_39.77	55.96	39.77	Synovial stroma
RA6_E2	54.01_39.78	54.01	39.78	Synovial stroma
RA6_E2	47.88_39.9	47.88	39.9	Synovial stroma
RA6_E2	53.99_41.8	53.99	41.8	Synovial stroma
RA6_E2	54.05_49.84	54.05	49.84	Synovial stroma
RA6_E2	34.86_36.88	34.86	36.88	Synovial stroma
RA6_E2	31.78_26.02	31.78	26.02	Synovial stroma;Unknown
RA6_E2	62.06_45.83	62.06	45.83	Synovial stroma
RA6_E2	63.06_44.83	63.06	44.83	Synovial stroma
RA6_E2	64.02_45.83	64.02	45.83	Synovial stroma
RA6_E2	33.8_31.91	33.8	31.91	Synovial stroma
RA6_E2	57.87_29.83	57.87	29.83	Synovial stroma
RA6_E2	53.85_29.8	53.85	29.8	Infiltrate;Synovial stroma
RA6_E2	61.03_46.83	61.03	46.83	Synovial stroma
RA6_E2	48.92_44.92	48.92	44.92	Synovial stroma
RA6_E2	64.05_47.82	64.05	47.82	Synovial stroma
RA6_E2	55.05_50.82	55.05	50.82	Synovial cell hyperplasia;Synovial stroma
RA6_E2	60.01_49.85	60.01	49.85	Synovial stroma
RA6_E2	56.87_34.78	56.87	34.78	Synovial stroma
RA6_E2	37.87_29.97	37.87	29.97	Synovial stroma
RA6_E2	54.02_45.77	54.02	45.77	Synovial stroma
RA6_E2	54.98_40.79	54.98	40.79	Synovial stroma
RA6_E2	50.87_34.91	50.87	34.91	Infiltrate
RA6_E2	51.93_45.85	51.93	45.85	Synovial stroma
RA6_E2	43.91_33.93	43.91	33.93	Synovial stroma
RA6_E2	49.74_27.84	49.74	27.84	Synovial stroma
RA6_E2	48.81_32.87	48.81	32.87	Infiltrate
RA6_E2	42.93_38.92	42.93	38.92	Infiltrate
RA6_E2	44.81_24.94	44.81	24.94	Synovial stroma
RA6_E2	64.93_32.79	64.93	32.79	Synovial stroma
RA6_E2	42.94_36.92	42.94	36.92	Infiltrate
RA6_E2	39.91_29.94	39.91	29.94	Synovial stroma
RA6_E2	43.03_42.92	43.03	42.92	Synovial cell hyperplasia
RA6_E2	60.92_36.84	60.92	36.84	Synovial stroma
RA6_E2	44.87_34.85	44.87	34.85	Synovial stroma
RA6_E2	34.81_30.9	34.81	30.9	Synovial stroma
RA6_E2	46.83_30.91	46.83	30.91	Synovial stroma
RA6_E2	62.9_32.85	62.9	32.85	Synovial stroma
RA6_E2	35.87_35.94	35.87	35.94	Synovial stroma
RA6_E2	58.89_32.87	58.89	32.87	Synovial stroma
RA6_E2	32.86_32.98	32.86	32.98	Synovial stroma
RA6_E2	45.83_39.91	45.83	39.91	Infiltrate;Synovial stroma
RA6_E2	59_40.85	59	40.85	Synovial stroma
RA6_E2	60.03_47.83	60.03	47.83	Synovial stroma
RA6_E2	41.95_41.94	41.95	41.94	Synovial stroma
RA6_E2	49.9_41.86	49.9	41.86	Synovial stroma
RA6_E2	35.88_39.93	35.88	39.93	Synovial stroma
RA6_E2	47.78_29.89	47.78	29.89	Synovial stroma
RA6_E2	45.99_47.91	45.99	47.91	Synovial stroma
RA6_E2	55.94_37.78	55.94	37.78	Synovial stroma
RA6_E2	55.91_33.79	55.91	33.79	Synovial stroma
RA6_E2	58.03_43.83	58.03	43.83	Synovial stroma
RA6_E2	52.92_42.84	52.92	42.84	Synovial stroma
RA6_E2	54.89_34.77	54.89	34.77	Synovial stroma
RA6_E2	34.81_34.89	34.81	34.89	Synovial stroma
RA6_E2	40.95_30.93	40.95	30.93	Synovial stroma
RA6_E2	31.84_32.04	31.84	32.04	Synovial stroma;Unknown
RA6_E2	63.96_31.81	63.96	31.81	Synovial stroma
RA6_E2	62.04_43.79	62.04	43.79	Synovial stroma
RA6_E2	60.97_40.83	60.97	40.83	Synovial stroma
RA6_E2	40_41.99	40	41.99	Synovial stroma
RA6_E2	46.76_28.86	46.76	28.86	Synovial stroma
RA6_E2	50.97_48.88	50.97	48.88	Infiltrate;Synovial stroma
RA6_E2	50_49.89	50	49.89	Infiltrate;Synovial stroma
RA6_E2	45.74_25.86	45.74	25.86	Synovial stroma
RA6_E2	43.79_25.97	43.79	25.97	Synovial stroma
RA6_E2	58.95_42.84	58.95	42.84	Synovial stroma
RA6_E2	44.82_26.94	44.82	26.94	Synovial stroma
RA6_E2	55.88_27.78	55.88	27.78	Synovial stroma
RA6_E2	57_44.76	57	44.76	Synovial stroma
RA6_E2	52.94_44.85	52.94	44.85	Synovial stroma
RA6_E2	52.98_46.86	52.98	46.86	Synovial stroma
RA6_E2	39.95_33.98	39.95	33.98	Synovial stroma
RA6_E2	40.84_26.98	40.84	26.98	Synovial stroma
RA6_E2	51.92_43.82	51.92	43.82	Synovial stroma
RA6_E2	33.79_29.88	33.79	29.88	Synovial stroma
RA6_E2	34.74_28.91	34.74	28.91	Synovial stroma;Unknown
RA6_E2	56.98_42.79	56.98	42.79	Synovial stroma
RA6_E2	49.96_47.85	49.96	47.85	Infiltrate;Synovial stroma
RA6_E2	56.06_49.83	56.06	49.83	Synovial stroma
RA6_E2	51.85_31.83	51.85	31.83	Infiltrate
RA6_E2	50.91_44.84	50.91	44.84	Synovial stroma
RA6_E2	36.75_30.87	36.75	30.87	Synovial stroma
RA6_E2	32.8_29.03	32.8	29.03	Synovial stroma
RA6_E2	48.75_26.84	48.75	26.84	Synovial stroma
RA6_E2	43.91_31.92	43.91	31.92	Infiltrate;Synovial stroma
RA6_E2	46.99_48.89	46.99	48.89	Synovial cell hyperplasia
RA6_E2	40_40.02	40	40.02	Synovial stroma
RA6_E2	34.72_24.88	34.72	24.88	Synovial stroma
RA6_E2	58.01_47.84	58.01	47.84	Synovial stroma
RA6_E2	63.98_33.83	63.98	33.83	Synovial stroma
RA6_E2	60_41.83	60	41.83	Synovial stroma
RA6_E2	37.95_37.98	37.95	37.98	Synovial stroma
RA6_E2	42.81_26.96	42.81	26.96	Synovial stroma
RA6_E2	45.89_41.94	45.89	41.94	Synovial stroma
RA6_E2	46.94_46.9	46.94	46.9	Synovial stroma
RA6_E2	61.93_29.84	61.93	29.84	Unknown
RA6_E2	46.8_34.89	46.8	34.89	Synovial stroma
RA6_E2	45.79_35.9	45.79	35.9	Synovial stroma
RA6_E2	63.01_42.79	63.01	42.79	Synovial stroma
RA6_E2	62.94_30.85	62.94	30.85	Synovial stroma;Unknown
RA6_E2	34.75_26.91	34.75	26.91	Synovial stroma
RA6_E2	55.01_46.78	55.01	46.78	Synovial stroma
RA6_E2	40.99_38.95	40.99	38.95	Synovial stroma
RA6_E2	42.78_28.92	42.78	28.92	Infiltrate;Synovial stroma
RA6_E2	45.77_29.92	45.77	29.92	Synovial stroma
RA6_E2	55.03_42.82	55.03	42.82	Synovial stroma
RA6_E2	49.9_43.84	49.9	43.84	Synovial stroma
RA6_E2	52.9_40.81	52.9	40.81	Synovial stroma
RA6_E2	63.02_40.82	63.02	40.82	Synovial stroma
RA6_E2	62.95_36.81	62.95	36.81	Synovial stroma
RA6_E2	50.75_26.84	50.75	26.84	Synovial cell hyperplasia
RA6_E2	42.83_34.94	42.83	34.94	Synovial stroma
RA6_E2	45.81_33.92	45.81	33.92	Synovial stroma
RA6_E2	58.97_38.84	58.97	38.84	Synovial stroma
RA6_E2	38.91_32.96	38.91	32.96	Synovial stroma
RA6_E2	45.83_37.84	45.83	37.84	Infiltrate;Synovial stroma
RA6_E2	59.91_33.84	59.91	33.84	Synovial stroma
RA6_E2	52.99_48.84	52.99	48.84	Synovial stroma
RA6_E2	55.93_35.78	55.93	35.78	Synovial stroma
RA6_E2	51.81_33.85	51.81	33.85	Synovial stroma
RA6_E2	33.7_27.85	33.7	27.85	Synovial stroma;Unknown
RA6_E2	43.9_35.97	43.9	35.97	Infiltrate;Synovial stroma
RA6_E2	58.05_45.78	58.05	45.78	Synovial stroma
RA6_E2	55.06_48.82	55.06	48.82	Infiltrate;Synovial stroma
RA6_E2	53.92_37.76	53.92	37.76	Synovial stroma
RA6_E2	56.88_32.75	56.88	32.75	Synovial stroma
RA6_E2	56.02_45.79	56.02	45.79	Synovial stroma
RA6_E2	42.84_24.89	42.84	24.89	Infiltrate;Synovial stroma
RA6_E2	48.84_38.89	48.84	38.89	Synovial stroma
RA6_E2	49.9_39.84	49.9	39.84	Synovial stroma
RA6_E2	31.86_34.07	31.86	34.07	Synovial stroma
RA6_E2	54.87_30.78	54.87	30.78	Synovial stroma
RA6_E2	35.8_25.87	35.8	25.87	Synovial stroma
RA6_E2	44.88_30.92	44.88	30.92	Infiltrate;Synovial stroma
RA6_E2	41.91_35.95	41.91	35.95	Synovial stroma
RA6_E2	60.93_34.83	60.93	34.83	Synovial stroma
RA6_E2	40.94_34.98	40.94	34.98	Synovial stroma
RA6_E2	56.82_28.78	56.82	28.78	Synovial stroma
RA6_E2	48.91_42.89	48.91	42.89	Synovial stroma
RA6_E2	55.89_31.76	55.89	31.76	Synovial stroma
RA6_E2	47.91_43.91	47.91	43.91	Synovial stroma
RA6_E2	65.93_43.8	65.93	43.8	Synovial stroma
RA6_E2	47.99_49.9	47.99	49.9	Synovial cell hyperplasia
RA6_E2	37.99_39.99	37.99	39.99	Synovial stroma
RA6_E2	32.84_31.01	32.84	31.01	Synovial stroma
RA6_E2	32.83_25.01	32.83	25.01	Synovial stroma;Unknown
RA6_E2	37.89_27.98	37.89	27.98	Synovial stroma
RA6_E2	45.86_43.91	45.86	43.91	Synovial cell hyperplasia
RA6_E2	65.88_35.81	65.88	35.81	Synovial stroma
RA6_E2	40.9_33	40.9	33	Infiltrate;Synovial stroma
RA6_E2	54.99_44.8	54.99	44.8	Synovial stroma
RA6_E2	52.82_32.81	52.82	32.81	Synovial stroma
RA6_E2	34.89_38.88	34.89	38.88	Synovial stroma
RA6_E2	36.82_36.89	36.82	36.89	Synovial stroma
RA6_E2	42.91_32.95	42.91	32.95	Infiltrate;Synovial stroma
RA6_E2	54.93_32.78	54.93	32.78	Synovial stroma
RA6_E2	61.03_48.83	61.03	48.83	Synovial stroma
RA6_E2	39.78_25.99	39.78	25.99	Synovial stroma
RA6_E2	62.94_34.82	62.94	34.82	Synovial stroma
RA6_E2	33.74_25.85	33.74	25.85	Synovial stroma
RA6_E2	41.92_37.95	41.92	37.95	Infiltrate;Synovial stroma
RA6_E2	59_44.85	59	44.85	Synovial stroma
RA6_E2	60.98_42.79	60.98	42.79	Synovial stroma
RA6_E2	64.03_43.82	64.03	43.82	Synovial stroma
RA6_E2	61.89_31.87	61.89	31.87	Synovial stroma
RA6_E2	56_41.79	56	41.79	Synovial stroma
RA6_E2	64.98_36.82	64.98	36.82	Synovial stroma
RA6_E2	57.93_33.84	57.93	33.84	Synovial stroma
RA6_E2	46.87_40.89	46.87	40.89	Synovial stroma
RA6_E2	46.91_44.9	46.91	44.9	Infiltrate
RA6_E2	60.89_32.84	60.89	32.84	Synovial stroma
RA6_E2	32.81_27.07	32.81	27.07	Synovial stroma
RA6_E2	58.92_34.85	58.92	34.85	Synovial stroma
RA6_E2	38.83_29.02	38.83	29.02	Synovial stroma
RA6_E2	63.97_35.83	63.97	35.83	Synovial stroma
