pix_x	pix_y
40_36	5909.538	5762.265
42_44	6237.846	7202.832
54_44	8207.692	7202.832
53_43	8043.538	7022.761
51_47	7715.231	7743.044
39_35	5745.385	5582.195
34_36	4924.615	5762.265
34_26	4924.615	3961.558
51_43	7715.231	7022.761
55_49	8371.846	8103.186
52_46	7879.385	7562.973
52_34	7879.385	5402.124
39_33	5745.385	5222.053
44_44	6566.154	7202.832
46_28	6894.462	4321.699
50_48	7551.077	7923.115
57_31	8700.154	4861.912
42_30	6237.846	4681.841
44_36	6566.154	5762.265
35_31	5088.769	4861.912
41_31	6073.692	4861.912
49_35	7386.923	5582.195
42_32	6237.846	5041.982
33_29	4760.462	4501.77
51_37	7715.231	5942.336
51_35	7715.231	5582.195
53_49	8043.538	8103.186
36_26	5252.923	3961.558
37_37	5417.077	5942.336
60_30	9192.615	4681.841
56_28	8536	4321.699
47_35	7058.615	5582.195
37_31	5417.077	4861.912
57_39	8700.154	6302.478
43_27	6402	4141.628
38_26	5581.231	3961.558
59_49	9028.462	8103.186
55_51	8371.846	8463.327
38_40	5581.231	6482.549
33_33	4760.462	5222.053
62_46	9520.923	7562.973
47_29	7058.615	4501.77
63_35	9685.077	5582.195
44_30	6566.154	4681.841
38_34	5581.231	5402.124
50_38	7551.077	6122.407
56_38	8536	6122.407
43_35	6402	5582.195
37_27	5417.077	4141.628
44_28	6566.154	4321.699
40_38	5909.538	6122.407
53_39	8043.538	6302.478
52_28	7879.385	4321.699
35_25	5088.769	3781.487
49_37	7386.923	5942.336
52_44	7879.385	7202.832
59_35	9028.462	5582.195
59_39	9028.462	6302.478
37_41	5417.077	6662.619
64_48	9849.231	7923.115
40_28	5909.538	4321.699
53_29	8043.538	4501.77
60_32	9192.615	5041.982
46_34	6894.462	5402.124
58_30	8864.308	4681.841
64_34	9849.231	5402.124
47_33	7058.615	5222.053
41_27	6073.692	4141.628
42_42	6237.846	6842.69
57_33	8700.154	5222.053
39_31	5745.385	4861.912
58_32	8864.308	5041.982
51_41	7715.231	6662.619
60_50	9192.615	8283.257
33_27	4760.462	4141.628
47_27	7058.615	4141.628
45_25	6730.308	3781.487
36_36	5252.923	5762.265
39_37	5745.385	5942.336
41_35	6073.692	5582.195
60_34	9192.615	5402.124
32_34	4596.308	5402.124
46_26	6894.462	3961.558
57_49	8700.154	8103.186
33_31	4760.462	4861.912
38_30	5581.231	4681.841
64_38	9849.231	6122.407
56_40	8536	6482.549
52_42	7879.385	6842.69
52_50	7879.385	8283.257
48_44	7222.769	7202.832
58_50	8864.308	8283.257
40_34	5909.538	5402.124
35_37	5088.769	5942.336
57_43	8700.154	7022.761
45_39	6730.308	6302.478
37_33	5417.077	5222.053
50_40	7551.077	6482.549
53_37	8043.538	5942.336
62_34	9520.923	5402.124
48_48	7222.769	7923.115
37_39	5417.077	6302.478
48_42	7222.769	6842.69
53_27	8043.538	4141.628
64_44	9849.231	7202.832
46_36	6894.462	5762.265
45_33	6730.308	5222.053
60_46	9192.615	7562.973
53_35	8043.538	5582.195
52_40	7879.385	6482.549
53_47	8043.538	7743.044
63_43	9685.077	7022.761
61_33	9356.769	5222.053
48_34	7222.769	5402.124
62_32	9520.923	5041.982
39_25	5745.385	3781.487
54_38	8207.692	6122.407
59_31	9028.462	4861.912
61_31	9356.769	4861.912
53_31	8043.538	4861.912
46_44	6894.462	7202.832
56_34	8536	5402.124
64_46	9849.231	7562.973
61_45	9356.769	7382.903
54_30	8207.692	4681.841
48_26	7222.769	3961.558
40_30	5909.538	4681.841
61_37	9356.769	5942.336
62_48	9520.923	7923.115
57_29	8700.154	4501.77
38_42	5581.231	6842.69
62_36	9520.923	5762.265
39_29	5745.385	4501.77
55_33	8371.846	5222.053
33_35	4760.462	5582.195
41_39	6073.692	6302.478
48_28	7222.769	4321.699
57_35	8700.154	5582.195
55_37	8371.846	5942.336
55_41	8371.846	6662.619
59_33	9028.462	5222.053
58_34	8864.308	5402.124
35_35	5088.769	5582.195
60_48	9192.615	7923.115
65_45	10013.385	7382.903
63_49	9685.077	8103.186
63_45	9685.077	7382.903
65_43	10013.385	7022.761
42_26	6237.846	3961.558
53_33	8043.538	5222.053
59_37	9028.462	5942.336
35_39	5088.769	6302.478
56_46	8536	7562.973
58_36	8864.308	5762.265
34_30	4924.615	4681.841
58_42	8864.308	6842.69
60_36	9192.615	5762.265
46_32	6894.462	5041.982
62_40	9520.923	6482.549
55_35	8371.846	5582.195
44_40	6566.154	6482.549
56_42	8536	6842.69
60_38	9192.615	6122.407
54_34	8207.692	5402.124
37_29	5417.077	4501.77
61_43	9356.769	7022.761
39_41	5745.385	6662.619
57_47	8700.154	7743.044
54_42	8207.692	6842.69
40_26	5909.538	3961.558
63_41	9685.077	6662.619
62_38	9520.923	6122.407
63_33	9685.077	5222.053
60_44	9192.615	7202.832
64_40	9849.231	6482.549
53_41	8043.538	6662.619
60_40	9192.615	6482.549
64_36	9849.231	5762.265
58_46	8864.308	7562.973
56_36	8536	5762.265
63_47	9685.077	7743.044
54_36	8207.692	5762.265
54_40	8207.692	6482.549
47_43	7058.615	7022.761
63_37	9685.077	5942.336
62_42	9520.923	6842.69
64_32	9849.231	5041.982
45_35	6730.308	5582.195
61_41	9356.769	6662.619
57_37	8700.154	5942.336
60_42	9192.615	6842.69
57_45	8700.154	7382.903
57_41	8700.154	6662.619
52_30	7879.385	4681.841
41_43	6073.692	7022.761
65_47	10013.385	7743.044
59_45	9028.462	7382.903
63_39	9685.077	6302.478
42_36	6237.846	5762.265
51_29	7715.231	4501.77
54_46	8207.692	7562.973
61_39	9356.769	6302.478
59_43	9028.462	7022.761
58_38	8864.308	6122.407
