pix_x	pix_y
48_36	7222.769	5762.265
36_28	5252.923	4321.699
45_41	6730.308	6662.619
53_51	8043.538	8463.327
54_50	8207.692	8283.257
43_39	6402	6302.478
65_35	10013.385	5582.195
45_43	6730.308	7022.761
45_29	6730.308	4501.77
55_43	8371.846	7022.761
44_26	6566.154	3961.558
49_33	7386.923	5222.053
34_34	4924.615	5402.124
46_40	6894.462	6482.549
43_29	6402	4501.77
47_39	7058.615	6302.478
47_49	7058.615	8103.186
44_38	6566.154	6122.407
44_42	6566.154	6842.69
49_31	7386.923	4861.912
55_45	8371.846	7382.903
41_37	6073.692	5942.336
44_34	6566.154	5402.124
39_27	5745.385	4141.628
43_45	6402	7382.903
36_38	5252.923	6122.407
56_48	8536	7923.115
48_32	7222.769	5041.982
49_49	7386.923	8103.186
44_32	6566.154	5041.982
47_47	7058.615	7743.044
45_31	6730.308	4861.912
65_37	10013.385	5942.336
42_38	6237.846	6122.407
40_42	5909.538	6842.69
58_44	8864.308	7202.832
51_31	7715.231	4861.912
46_38	6894.462	6122.407
61_35	9356.769	5582.195
45_47	6730.308	7743.044
32_30	4596.308	4681.841
38_38	5581.231	6122.407
44_46	6566.154	7562.973
37_35	5417.077	5582.195
49_45	7386.923	7382.903
41_29	6073.692	4501.77
51_39	7715.231	6302.478
50_26	7551.077	3961.558
35_27	5088.769	4141.628
45_37	6730.308	5942.336
47_31	7058.615	4861.912
59_47	9028.462	7743.044
55_29	8371.846	4501.77
50_46	7551.077	7562.973
36_40	5252.923	6482.549
52_32	7879.385	5041.982
36_30	5252.923	4681.841
50_28	7551.077	4321.699
52_38	7879.385	6122.407
50_36	7551.077	5762.265
36_34	5252.923	5402.124
34_32	4924.615	5041.982
40_40	5909.538	6482.549
49_43	7386.923	7022.761
48_38	7222.769	6122.407
41_33	6073.692	5222.053
48_50	7222.769	8283.257
49_41	7386.923	6662.619
43_41	6402	6662.619
43_43	6402	7022.761
50_50	7551.077	8283.257
41_25	6073.692	3781.487
50_34	7551.077	5402.124
46_46	6894.462	7562.973
48_40	7222.769	6482.549
54_48	8207.692	7923.115
36_32	5252.923	5041.982
38_36	5581.231	5762.265
43_25	6402	3781.487
51_49	7715.231	8103.186
50_32	7551.077	5041.982
49_29	7386.923	4501.77
45_45	6730.308	7382.903
47_45	7058.615	7382.903
51_45	7715.231	7382.903
48_30	7222.769	4681.841
42_40	6237.846	6482.549
46_42	6894.462	6842.69
55_31	8371.846	4861.912
50_30	7551.077	4681.841
47_41	7058.615	6662.619
51_51	7715.231	8463.327
53_45	8043.538	7382.903
51_27	7715.231	4141.628
58_40	8864.308	6482.549
46_30	6894.462	4681.841
43_37	6402	5942.336
43_33	6402	5222.053
52_48	7879.385	7923.115
43_31	6402	4861.912
55_47	8371.846	7743.044
54_28	8207.692	4321.699
54_32	8207.692	5041.982
38_28	5581.231	4321.699
49_39	7386.923	6302.478
61_47	9356.769	7743.044
55_27	8371.846	4141.628
39_39	5745.385	6302.478
42_28	6237.846	4321.699
50_42	7551.077	6842.69
35_33	5088.769	5222.053
40_32	5909.538	5041.982
49_27	7386.923	4141.628
50_44	7551.077	7202.832
37_25	5417.077	3781.487
49_47	7386.923	7743.044
56_50	8536	8283.257
56_44	8536	7202.832
51_33	7715.231	5222.053
47_37	7058.615	5942.336
41_41	6073.692	6662.619
56_30	8536	4681.841
48_46	7222.769	7562.973
56_32	8536	5041.982
