V1	V2	V3
X1_34_40	5.663811452686	-9.74050456425483	-23.2831011191165
X1_31_45	8.55109500760822	-4.35074003508117	-20.4141874509702
X1_46_54	1.92917155874924	0.476600172798359	-10.1489749814794
X1_34_34	4.46292532539402	6.14754377425101	-28.6716982818538
X1_34_54	5.05470954666194	-16.4770947090016	-15.7095601700338
X1_29_47	5.0454514741192	6.95879168741016	-28.6086399582436
X1_27_29	5.79621615259876	11.9540303399661	-28.7070173048671
X1_28_44	11.5198910689358	-3.74513327615632	-22.8193082866471
X1_37_35	3.95942106449639	13.784075915984	-30.9973989858797
X1_35_33	5.43943990549005	5.09730810974342	-27.7536147104397
X1_33_41	8.25739389002913	13.7693440241253	-26.3434495413193
X1_29_45	5.73352063463965	4.3117610804924	-23.8164072534383
X1_28_50	6.92170606412265	4.02741007141082	-24.208921918562
X1_38_34	6.48613155155475	-11.3895784754213	-21.5658289697681
X1_34_36	2.39460757861794	11.9989233569868	-23.9435529148195
X1_27_47	3.62873407077005	12.9137441896654	-29.4173244523589
X1_37_37	2.63448094862709	11.0388556309367	-25.2600509237899
X1_33_53	5.75066779379754	5.05362580611646	-24.6755078246072
X1_28_42	7.30235424799333	10.3964559581073	-28.090308162143
X1_30_44	3.3886940081663	1.25995733955523	-12.5418902099359
X1_33_39	3.48853549604966	8.9192848098243	-32.1437737287893
X1_44_52	7.67053541760055	-13.3535320957247	-19.2743482948731
X1_29_43	7.39354267489756	-10.6407976809642	-22.8255785727502
X1_22_28	4.3953294014242	17.1609694578894	-34.724776372392
X1_27_43	6.62945865153417	-6.85650222125409	-19.760921080092
X1_46_52	-0.359234242591167	15.7906579012184	-26.112669991368
X1_30_42	0.942184755874499	2.14818645638909	-11.176057568481
X2_40_40	-2.80636971183057	1.25638443103108	-33.4282737402799
X2_37_45	-3.04070535591183	-15.3489512244721	-27.2907387406306
X2_40_38	-2.1000784008736	1.04884245781388	-34.1026448002576
X2_33_45	2.12697390152841	2.69283744833714	-26.3166327244217
X2_38_46	-1.70013784370234	-14.2797769791076	-29.7613523938046
X2_53_53	-3.10959508190639	-4.48827451509667	-32.603532436791
X2_36_52	-0.469914881970431	6.50170717544804	-34.6714187654519
X2_38_40	2.17930881039017	9.14640026942425	-34.0636515041288
