image	x_y	x	y	value
RA6_D2	54.1_51.79	54.1	51.79	Synovial stroma
RA6_D2	47.95_49.9	47.95	49.9	Synovial stroma
RA6_D2	36.01_49.88	36.01	49.88	Infiltrate
RA6_D2	56.06_47.78	56.06	47.78	Synovial stroma
RA6_D2	45.18_58.97	45.18	58.97	Synovial stroma;Unknown
RA6_D2	31.88_36.05	31.88	36.05	Synovial stroma
RA6_D2	50.93_42.84	50.93	42.84	Synovial stroma
RA6_D2	55.01_40.81	55.01	40.81	Synovial stroma
RA6_D2	50.01_53.86	50.01	53.86	Synovial stroma
RA6_D2	36.91_42.94	36.91	42.94	Synovial stroma
RA6_D2	48.07_57.89	48.07	57.89	Infiltrate
RA6_D2	53.03_50.86	53.03	50.86	Synovial stroma
RA6_D2	52.03_51.85	52.03	51.85	Synovial stroma
RA6_D2	33.07_41.03	33.07	41.03	Synovial stroma
RA6_D2	33.93_43.97	33.93	43.97	Synovial stroma
RA6_D2	42.96_36.93	42.96	36.93	Synovial stroma
RA6_D2	32.11_48.01	32.11	48.01	Synovial stroma
RA6_D2	48.9_50.88	48.9	50.88	Synovial stroma
RA6_D2	45.97_45.9	45.97	45.9	Synovial stroma
RA6_D2	49.98_47.87	49.98	47.87	Synovial stroma
RA6_D2	28.12_49.92	28.12	49.92	Unknown
RA6_D2	36.08_53.92	36.08	53.92	Synovial stroma
RA6_D2	29.98_34.08	29.98	34.08	Synovial stroma
RA6_D2	38.02_35.99	38.02	35.99	Synovial stroma
RA6_D2	25.01_45.13	25.01	45.13	Synovial stroma
RA6_D2	33.96_35.88	33.96	35.88	Synovial stroma
RA6_D2	51.98_49.81	51.98	49.81	Synovial stroma;Unknown
RA6_D2	39.12_51.01	39.12	51.01	Synovial stroma
RA6_D2	56.09_51.82	56.09	51.82	Infiltrate;Synovial stroma
RA6_D2	37.04_54.89	37.04	54.89	Synovial stroma
RA6_D2	23.93_36.13	23.93	36.13	Synovial stroma
RA6_D2	55.11_54.83	55.11	54.83	Infiltrate
RA6_D2	35.01_48.92	35.01	48.92	Infiltrate
RA6_D2	28.04_43.98	28.04	43.98	Synovial stroma
RA6_D2	28.04_39.95	28.04	39.95	Synovial stroma
RA6_D2	54.09_45.8	54.09	45.8	Synovial stroma
RA6_D2	26.04_35.97	26.04	35.97	Synovial stroma
RA6_D2	54_41.79	54	41.79	Synovial stroma
RA6_D2	33.09_47.04	33.09	47.04	Synovial stroma
RA6_D2	37.07_46.96	37.07	46.96	Synovial stroma
RA6_D2	49.05_56.9	49.05	56.9	Synovial stroma
RA6_D2	40.03_37.98	40.03	37.98	Synovial stroma
RA6_D2	42.1_49.93	42.1	49.93	Synovial stroma
RA6_D2	43.1_48.99	43.1	48.99	Synovial stroma
RA6_D2	33.14_53.06	33.14	53.06	Synovial stroma
RA6_D2	32.03_42.06	32.03	42.06	Synovial stroma
RA6_D2	28.12_45.97	28.12	45.97	Synovial stroma
