image	x_y	x	y	value
RA1_2	7_23	7	23	Infiltrate
RA1_2	24_18	24	18	Collagenous/Adipose tissue;Synovial stroma
RA1_2	20_19	20	19	Collagenous/Adipose tissue;Synovial stroma
RA1_2	7_22	7	22	Infiltrate;Synovial stroma
RA1_2	24_11	24	11	Synovial stroma
RA1_2	25_20	25	20	Infiltrate;Synovial stroma
RA1_2	28_19	28	19	Collagenous/Adipose tissue;Synovial stroma
RA1_2	22_14	22	14	Synovial stroma
RA1_2	10_25	10	25	Synovial stroma
RA1_2	18_17	18	17	Infiltrate
RA1_2	24_16	24	16	Synovial stroma
RA1_2	20_28	20	28	Synovial stroma
RA1_2	13_14	13	14	Collagenous/Adipose tissue
RA1_2	12_19	12	19	Synovial stroma
RA1_2	9_19	9	19	Synovial stroma
RA1_2	29_19	29	19	Synovial stroma
RA1_2	7_19	7	19	Synovial stroma
RA1_2	29_20	29	20	Synovial stroma
RA1_2	22_12	22	12	Infiltrate;Synovial stroma
RA1_2	21_14	21	14	Collagenous/Adipose tissue;Synovial stroma
RA1_2	23_24	23	24	Synovial stroma
RA1_2	9_23	9	23	Infiltrate
RA1_2	27_16	27	16	Synovial stroma
RA1_2	20_12	20	12	Collagenous/Adipose tissue;Synovial stroma
RA1_2	16_28	16	28	Synovial stroma
RA1_2	11_26	11	26	Infiltrate
RA1_2	18_20	18	20	Synovial stroma
RA1_2	8_18	8	18	Synovial stroma
RA1_2	28_21	28	21	Synovial stroma
RA1_2	17_18	17	18	Collagenous/Adipose tissue;Synovial stroma
RA1_2	27_18	27	18	Synovial stroma
RA1_2	15_23	15	23	Synovial stroma
RA1_2	19_22	19	22	Synovial stroma
RA1_2	13_19	13	19	Synovial stroma
RA1_2	18_26	18	26	Synovial stroma
RA1_2	27_15	27	15	Infiltrate
RA1_2	25_15	25	15	Synovial stroma
RA1_2	20_11	20	11	Synovial stroma
RA1_2	23_15	23	15	Collagenous/Adipose tissue;Synovial stroma
RA1_2	16_25	16	25	Collagenous/Adipose tissue;Synovial stroma
RA1_2	25_25	25	25	Infiltrate
RA1_2	17_16	17	16	Collagenous/Adipose tissue;Synovial stroma
RA1_2	25_19	25	19	Infiltrate;Synovial stroma
RA1_2	9_17	9	17	Synovial stroma
RA1_2	8_22	8	22	Infiltrate;Synovial stroma
RA1_2	8_21	8	21	Synovial stroma
RA1_2	13_22	13	22	Synovial stroma
RA1_2	17_20	17	20	Collagenous/Adipose tissue;Synovial stroma
RA1_2	11_24	11	24	Synovial stroma
RA1_2	21_22	21	22	Infiltrate;Synovial stroma
RA1_2	23_9	23	9	Synovial stroma
RA1_2	21_13	21	13	Synovial stroma
RA1_2	25_26	25	26	Infiltrate;Synovial stroma
RA1_2	13_18	13	18	Synovial stroma
RA1_2	24_12	24	12	Synovial stroma
RA1_2	25_13	25	13	Synovial stroma
RA1_2	12_17	12	17	Synovial stroma
RA1_2	26_22	26	22	Synovial stroma
RA1_2	25_23	25	23	Synovial stroma
RA1_2	19_28	19	28	Synovial stroma
RA1_2	21_21	21	21	Collagenous/Adipose tissue;Synovial stroma
