V1	V2	V3
X1_29_49	-12.2674405926057	-5.31714353896427	27.7070998445683
X1_35_55	1.54081837391006	8.4614902251651	33.3807077038703
X1_29_41	-9.83314257059384	17.3757590305409	45.9548214293176
X1_24_34	-7.96503950014667	-6.06746306233218	32.3216546128165
X1_32_44	-3.9992201835648	-9.69762245161455	25.5691327538572
X1_39_55	-4.93659859779291	-12.6165271231403	22.128574623053
X1_19_27	8.92472800405724	-8.16226925775843	26.9260327158116
X1_22_34	-9.59895914126399	17.6863533767644	46.7852891757915
X1_32_40	-20.0357849693362	-4.98190418104581	32.6349116898097
X1_31_51	-9.58979077474141	6.96413006713639	33.1859872407705
X1_32_38	-10.1603748501767	14.6520423117515	44.7367054717505
X1_33_35	-16.6528388485304	-5.95840766444654	32.3020270996192
X1_33_37	-9.24743267899864	16.8115312353075	45.4810286112568
X1_30_50	-6.15672208206247	15.7022511713405	39.4496959295445
X1_23_33	-9.07283916037453	16.08003977446	45.4821658737855
X1_26_46	-10.6375643152926	17.0023594988686	47.2671484442171
X1_30_46	-10.7640958687609	9.31330243710193	36.6530860832641
X1_28_46	-6.28713664945204	-5.82921023482877	31.036337545236
X1_35_37	-10.4881820390357	16.4731289871372	45.0778710457985
X1_32_42	-9.52504789691158	15.1630898206325	40.1926005712086
X1_32_46	-7.99697625345987	16.694370479776	38.4188590609901
X1_36_34	-9.12543217422748	15.7814871316509	38.7924812985601
X1_26_44	-4.24122239166659	-3.06125666129636	29.8351542740772
X1_31_39	-9.80121912165461	17.1683346745669	44.0025454769201
X1_47_53	-20.5629319927035	-3.38464480833525	33.9471352052347
X1_31_41	-19.6159690239359	6.92967161045021	39.904456682482
X1_24_32	-8.01981110082693	14.8366308971632	40.1945855693702
X1_32_52	-5.30342923820653	8.09737701420816	45.231946912524
X1_31_43	-18.9202551437385	-10.6660685110339	26.9282261361482
X1_27_45	-9.76539416693552	16.4840564695317	43.4967998057598
X1_34_56	-8.86015509773093	16.9901542002999	46.2931790426724
X1_30_48	-7.41178742094541	7.04527761601186	35.6122965993832
X1_25_47	-6.90748614288455	17.3759933834546	37.6380072806543
X1_36_38	-4.74748197845209	-4.36582470043016	31.2311483277235
X1_30_40	-8.68523974049304	15.9698157356011	44.6873688500951
X1_20_34	-14.2871276794709	8.7323145949917	39.9380157357754
X1_34_38	-9.50482202494326	14.8938729469557	43.715155154718
X1_45_53	-7.1298793493009	-5.64145383524355	32.1099843203594
X1_28_48	-1.94343657493148	6.38911235433738	42.5617527892339
X1_31_47	-3.68633621025874	7.74173476798815	42.4474678855653
X1_34_40	-10.7057916042536	-6.54263031017698	27.3034445454766
X1_31_45	-5.03706958572878	-2.67173371252621	29.143735444047
