"","infiltrate"
"X6_11_12","Inf1"
"X6_10_12","Inf1"
"X6_12_12","Inf1"
"X6_11_13","Inf1"
"X6_10_13","Inf1"
"X6_13_13","Inf1"
"X6_12_13","Inf1"
"X6_11_14","Inf1"
"X6_10_14","Inf1"
"X6_9_14","Inf1"
"X6_12_14","Inf1"
"X6_13_14","Inf1"
"X6_11_15","Inf1"
"X6_10_15","Inf1"
"X6_9_15","Inf1"
"X6_12_15","Inf1"
"X6_11_16","Inf1"
"X6_10_16","Inf1"
"X6_9_16","Inf1"
"X6_12_16","Inf1"
"X6_11_17","Inf1"
"X6_10_17","Inf1"
"X6_9_17","Inf1"
"X6_12_17","Inf1"
"X6_11_18","Inf1"
"X6_10_18","Inf1"
"X6_9_18","Inf1"
"X6_12_18","Inf1"
"X6_11_19","Inf1"
"X6_9_19","Inf1"
"X6_10_19","Inf1"
"X6_11_20","Inf1"
"X6_10_20","Inf1"
"X6_9_20","Inf1"
"X6_10_21","Inf1"
"X6_15_18","Inf2"
"X6_14_18","Inf2"
"X6_13_19","Inf2"
"X6_14_19","Inf2"
"X6_15_19","Inf2"
"X6_15_20","Inf2"
"X6_12_20","Inf2"
"X6_14_20","Inf2"
"X6_13_20","Inf2"
"X6_13_21","Inf2"
"X6_14_21","Inf2"
"X6_12_21","Inf2"
"X6_15_21","Inf2"
"X6_16_22","Inf2"
"X6_12_22","Inf2"
"X6_13_22","Inf2"
"X6_15_22","Inf2"
"X6_14_22","Inf2"
"X6_17_23","Inf2"
"X6_14_23","Inf2"
"X6_12_23","Inf2"
"X6_15_23","Inf2"
"X6_13_23","Inf2"
"X6_16_24","Inf2"
"X6_17_24","Inf2"
"X6_15_24","Inf2"
"X6_14_24","Inf2"
"X6_13_24","Inf2"
"X6_14_25","Inf2"
"X6_16_25","Inf2"
"X6_15_25","Inf2"
"X6_20_22","Inf3"
"X6_21_22","Inf3"
"X6_21_23","Inf3"
"X6_20_23","Inf3"
"X6_19_23","Inf3"
"X6_25_20","Inf4"
"X6_24_20","Inf4"
"X6_23_21","Inf4"
"X6_25_21","Inf4"
"X6_24_21","Inf4"
"X6_25_22","Inf4"
"X6_23_22","Inf4"
"X6_24_22","Inf4"
"X6_23_23","Inf4"
"X6_24_23","Inf4"
"X6_25_23","Inf4"
"X6_28_18","Inf5"
"X6_29_18","Inf5"
"X6_30_19","Inf5"
"X6_29_19","Inf5"
"X6_28_19","Inf5"
"X6_30_20","Inf5"
"X6_29_20","Inf5"
"X6_28_20","Inf5"
"X6_29_21","Inf5"
"X6_23_10","Inf6"
"X6_24_10","Inf6"
"X6_25_11","Inf6"
"X6_23_11","Inf6"
"X6_24_11","Inf6"
"X6_25_12","Inf6"
"X6_24_12","Inf6"
"X6_23_12","Inf6"
"X6_22_13","Inf6"
"X6_21_13","Inf6"
"X6_25_13","Inf6"
"X6_24_13","Inf6"
"X6_23_13","Inf6"
"X6_22_14","Inf6"
"X6_21_14","Inf6"
"X6_25_14","Inf6"
"X6_23_14","Inf6"
"X6_24_14","Inf6"
"X6_22_15","Inf6"
"X6_21_15","Inf6"
"X6_23_15","Inf6"
"X6_24_15","Inf6"
"X6_22_16","Inf6"
