"","infiltrate"
"X1_14_13","Inf1"
"X1_12_14","Inf1"
"X1_14_14","Inf1"
"X1_13_14","Inf1"
"X1_12_15","Inf1"
"X1_12_17","Inf1"
"X1_11_17","Inf1"
"X1_13_17","Inf1"
"X1_11_18","Inf1"
"X1_12_18","Inf1"
"X1_13_18","Inf1"
"X1_11_19","Inf1"
"X1_12_19","Inf1"
"X1_16_17","Inf2"
"X1_16_18","Inf2"
"X1_15_18","Inf2"
"X1_16_19","Inf2"
"X1_14_19","Inf2"
"X1_15_19","Inf2"
"X1_13_20","Inf2"
"X1_15_20","Inf2"
"X1_14_20","Inf2"
"X1_16_20","Inf2"
"X1_17_21","Inf2"
"X1_13_21","Inf2"
"X1_16_21","Inf2"
"X1_14_21","Inf2"
"X1_15_21","Inf2"
"X1_18_22","Inf2"
"X1_17_22","Inf2"
"X1_16_22","Inf2"
"X1_15_22","Inf2"
"X1_13_22","Inf2"
"X1_14_22","Inf2"
"X1_17_23","Inf2"
"X1_16_23","Inf2"
"X1_15_23","Inf2"
"X1_21_20","Inf3"
"X1_22_20","Inf3"
"X1_23_21","Inf3"
"X1_22_21","Inf3"
"X1_21_21","Inf3"
"X1_21_22","Inf3"
"X1_25_19","Inf4"
"X1_24_19","Inf4"
"X1_27_19","Inf4"
"X1_26_19","Inf4"
"X1_28_20","Inf4"
"X1_27_20","Inf4"
"X1_24_20","Inf4"
"X1_25_20","Inf4"
"X1_26_20","Inf4"
"X1_27_21","Inf4"
"X1_25_21","Inf4"
"X1_26_21","Inf4"
"X1_30_17","Inf5"
"X1_30_18","Inf5"
"X1_25_11","Inf6"
"X1_26_11","Inf6"
"X1_25_12","Inf6"
"X1_26_12","Inf6"
"X1_24_12","Inf6"
"X1_24_13","Inf6"
"X1_25_13","Inf6"
"X1_23_13","Inf6"
"X1_26_13","Inf6"
"X1_23_14","Inf6"
