pix_x	pix_y
47_49	7069.641	8091.239
37_55	5425.538	9170.071
41_59	6083.179	9889.292
29_45	4110.256	7372.018
26_46	3617.026	7551.823
31_51	4439.077	8450.85
39_47	5754.359	7731.628
42_42	6247.59	6832.602
39_55	5754.359	9170.071
40_48	5918.769	7911.434
46_38	6905.231	6113.381
48_50	7234.051	8271.044
32_48	4603.487	7911.434
50_58	7562.872	9709.487
32_40	4603.487	6472.991
51_57	7727.282	9529.681
54_56	8220.513	9349.876
29_43	4110.256	7012.407
30_44	4274.667	7192.212
42_54	6247.59	8990.265
55_53	8384.923	8810.46
42_38	6247.59	6113.381
41_41	6083.179	6652.796
36_46	5261.128	7551.823
35_55	5096.718	9170.071
38_36	5589.949	5753.77
39_45	5754.359	7372.018
52_58	7891.692	9709.487
37_41	5425.538	6652.796
55_51	8384.923	8450.85
40_58	5918.769	9709.487
42_44	6247.59	7192.212
44_38	6576.41	6113.381
56_44	8549.333	7192.212
54_58	8220.513	9709.487
35_37	5096.718	5933.575
35_53	5096.718	8810.46
38_54	5589.949	8990.265
36_56	5261.128	9349.876
36_52	5261.128	8630.655
34_48	4932.308	7911.434
33_53	4767.897	8810.46
44_44	6576.41	7192.212
34_50	4932.308	8271.044
43_39	6412	6293.186
25_43	3452.615	7012.407
54_42	8220.513	6832.602
53_57	8056.103	9529.681
43_41	6412	6652.796
40_40	5918.769	6472.991
47_41	7069.641	6652.796
38_50	5589.949	8271.044
47_59	7069.641	9889.292
30_38	4274.667	6113.381
40_46	5918.769	7551.823
32_44	4603.487	7192.212
40_50	5918.769	8271.044
39_53	5754.359	8810.46
38_52	5589.949	8630.655
40_54	5918.769	8990.265
39_43	5754.359	7012.407
43_43	6412	7012.407
40_38	5918.769	6113.381
42_56	6247.59	9349.876
39_49	5754.359	8091.239
55_57	8384.923	9529.681
38_56	5589.949	9349.876
33_35	4767.897	5573.965
51_53	7727.282	8810.46
33_49	4767.897	8091.239
35_51	5096.718	8450.85
32_50	4603.487	8271.044
40_42	5918.769	6832.602
41_57	6083.179	9529.681
30_50	4274.667	8271.044
51_51	7727.282	8450.85
57_55	8713.744	9170.071
53_55	8056.103	9170.071
24_40	3288.205	6472.991
44_56	6576.41	9349.876
41_37	6083.179	5933.575
57_53	8713.744	8810.46
24_36	3288.205	5753.77
49_57	7398.462	9529.681
48_54	7234.051	8990.265
32_42	4603.487	6832.602
35_43	5096.718	7012.407
31_43	4439.077	7012.407
36_50	5261.128	8271.044
26_36	3617.026	5753.77
57_51	8713.744	8450.85
50_46	7562.872	7551.823
25_41	3452.615	6652.796
53_51	8056.103	8450.85
50_56	7562.872	9349.876
38_40	5589.949	6472.991
32_36	4603.487	5753.77
56_54	8549.333	8990.265
52_56	7891.692	9349.876
55_55	8384.923	9170.071
44_40	6576.41	6472.991
25_39	3452.615	6293.186
25_35	3452.615	5573.965
48_56	7234.051	9349.876
46_58	6905.231	9709.487
33_41	4767.897	6652.796
35_49	5096.718	8091.239
29_39	4110.256	6293.186
37_43	5425.538	7012.407
57_49	8713.744	8091.239
35_39	5096.718	6293.186
28_38	3945.846	6113.381
54_54	8220.513	8990.265
32_52	4603.487	8630.655
36_44	5261.128	7192.212
27_45	3781.436	7372.018
34_42	4932.308	6832.602
43_59	6412	9889.292
56_50	8549.333	8271.044
46_56	6905.231	9349.876
40_44	5918.769	7192.212
33_51	4767.897	8450.85
47_55	7069.641	9170.071
31_39	4439.077	6293.186
28_46	3945.846	7551.823
34_52	4932.308	8630.655
59_55	9042.564	9170.071
49_59	7398.462	9889.292
36_38	5261.128	6113.381
43_57	6412	9529.681
33_39	4767.897	6293.186
48_46	7234.051	7551.823
40_56	5918.769	9349.876
43_53	6412	8810.46
53_49	8056.103	8091.239
48_44	7234.051	7192.212
59_53	9042.564	8810.46
45_41	6740.821	6652.796
47_57	7069.641	9529.681
48_58	7234.051	9709.487
38_44	5589.949	7192.212
57_45	8713.744	7372.018
35_41	5096.718	6652.796
42_52	6247.59	8630.655
45_55	6740.821	9170.071
48_52	7234.051	8630.655
55_49	8384.923	8091.239
50_52	7562.872	8630.655
39_57	5754.359	9529.681
38_46	5589.949	7551.823
36_54	5261.128	8990.265
38_48	5589.949	7911.434
37_45	5425.538	7372.018
28_40	3945.846	6472.991
33_37	4767.897	5933.575
44_58	6576.41	9709.487
57_43	8713.744	7012.407
45_57	6740.821	9529.681
56_52	8549.333	8630.655
40_36	5918.769	5753.77
36_40	5261.128	6472.991
45_43	6740.821	7012.407
42_40	6247.59	6472.991
43_45	6412	7372.018
34_46	4932.308	7551.823
47_47	7069.641	7731.628
33_47	4767.897	7731.628
26_42	3617.026	6832.602
28_42	3945.846	6832.602
34_40	4932.308	6472.991
48_60	7234.051	10069.097
41_49	6083.179	8091.239
36_48	5261.128	7911.434
49_53	7398.462	8810.46
52_46	7891.692	7551.823
41_47	6083.179	7731.628
38_42	5589.949	6832.602
35_45	5096.718	7372.018
36_42	5261.128	6832.602
50_40	7562.872	6472.991
41_39	6083.179	6293.186
52_54	7891.692	8990.265
39_51	5754.359	8450.85
37_37	5425.538	5933.575
28_48	3945.846	7911.434
44_60	6576.41	10069.097
37_53	5425.538	8810.46
56_56	8549.333	9349.876
53_53	8056.103	8810.46
42_36	6247.59	5753.77
45_45	6740.821	7372.018
37_47	5425.538	7731.628
46_40	6905.231	6472.991
44_42	6576.41	6832.602
25_45	3452.615	7372.018
42_58	6247.59	9709.487
30_46	4274.667	7551.823
47_39	7069.641	6293.186
38_38	5589.949	6113.381
44_46	6576.41	7551.823
58_54	8878.154	8990.265
39_39	5754.359	6293.186
26_44	3617.026	7192.212
56_48	8549.333	7911.434
49_41	7398.462	6652.796
44_54	6576.41	8990.265
29_41	4110.256	6652.796
34_54	4932.308	8990.265
27_43	3781.436	7012.407
56_46	8549.333	7551.823
44_50	6576.41	8271.044
36_36	5261.128	5753.77
39_37	5754.359	5933.575
54_44	8220.513	7192.212
32_38	4603.487	6113.381
45_37	6740.821	5933.575
35_35	5096.718	5573.965
41_51	6083.179	8450.85
44_48	6576.41	7911.434
33_43	4767.897	7012.407
50_42	7562.872	6832.602
31_45	4439.077	7372.018
49_47	7398.462	7731.628
45_53	6740.821	8810.46
45_39	6740.821	6293.186
41_45	6083.179	7372.018
37_49	5425.538	8091.239
55_47	8384.923	7731.628
32_46	4603.487	7551.823
46_42	6905.231	6832.602
42_46	6247.59	7551.823
44_36	6576.41	5753.77
48_40	7234.051	6472.991
28_44	3945.846	7192.212
50_54	7562.872	8990.265
49_51	7398.462	8450.85
28_34	3945.846	5394.159
37_35	5425.538	5573.965
40_52	5918.769	8630.655
28_36	3945.846	5753.77
35_47	5096.718	7731.628
45_49	6740.821	8091.239
27_41	3781.436	6652.796
52_44	7891.692	7192.212
29_47	4110.256	7731.628
55_45	8384.923	7372.018
51_55	7727.282	9170.071
34_36	4932.308	5753.77
30_48	4274.667	7911.434
