"","infiltrate"
"X2_11_12","Inf1"
"X2_12_13","Inf1"
"X2_11_13","Inf1"
"X2_9_13","Inf1"
"X2_10_13","Inf1"
"X2_12_14","Inf1"
"X2_11_14","Inf1"
"X2_9_14","Inf1"
"X2_13_14","Inf1"
"X2_10_14","Inf1"
"X2_11_15","Inf1"
"X2_13_15","Inf1"
"X2_9_15","Inf1"
"X2_10_15","Inf1"
"X2_12_15","Inf1"
"X2_9_16","Inf1"
"X2_11_16","Inf1"
"X2_12_16","Inf1"
"X2_13_16","Inf1"
"X2_10_16","Inf1"
"X2_12_17","Inf1"
"X2_11_17","Inf1"
"X2_10_17","Inf1"
"X2_11_18","Inf1"
"X2_10_18","Inf1"
"X2_12_18","Inf1"
"X2_13_18","Inf1"
"X2_12_19","Inf1"
"X2_10_19","Inf1"
"X2_11_19","Inf1"
"X2_11_20","Inf1"
"X2_12_20","Inf1"
"X2_12_21","Inf1"
"X2_16_18","Inf2"
"X2_15_18","Inf2"
"X2_14_19","Inf2"
"X2_16_19","Inf2"
"X2_17_19","Inf2"
"X2_15_19","Inf2"
"X2_17_20","Inf2"
"X2_14_20","Inf2"
"X2_16_20","Inf2"
"X2_15_20","Inf2"
"X2_16_21","Inf2"
"X2_17_21","Inf2"
"X2_14_21","Inf2"
"X2_15_21","Inf2"
"X2_17_22","Inf2"
"X2_16_22","Inf2"
"X2_18_22","Inf2"
"X2_14_22","Inf2"
"X2_15_22","Inf2"
"X2_17_23","Inf2"
"X2_18_23","Inf2"
"X2_16_23","Inf2"
"X2_14_23","Inf2"
"X2_15_23","Inf2"
"X2_19_23","Inf2"
"X2_19_24","Inf2"
"X2_16_24","Inf2"
"X2_17_24","Inf2"
"X2_18_24","Inf2"
"X2_15_24","Inf2"
"X2_23_20","Inf3"
"X2_22_20","Inf3"
"X2_22_21","Inf3"
"X2_23_21","Inf3"
"X2_21_21","Inf3"
"X2_22_22","Inf3"
"X2_23_22","Inf3"
"X2_21_22","Inf3"
"X2_26_18","Inf4"
"X2_27_18","Inf4"
"X2_25_18","Inf4"
"X2_27_19","Inf4"
"X2_26_19","Inf4"
"X2_25_19","Inf4"
"X2_27_20","Inf4"
"X2_26_20","Inf4"
"X2_25_20","Inf4"
"X2_26_21","Inf4"
"X2_25_21","Inf4"
"X2_29_16","Inf5"
"X2_30_16","Inf5"
"X2_30_17","Inf5"
"X2_24_9","Inf6"
"X2_23_9","Inf6"
"X2_22_10","Inf6"
"X2_23_10","Inf6"
"X2_25_10","Inf6"
"X2_24_10","Inf6"
"X2_22_11","Inf6"
"X2_24_11","Inf6"
"X2_23_11","Inf6"
"X2_25_11","Inf6"
"X2_22_12","Inf6"
"X2_23_12","Inf6"
"X2_24_12","Inf6"
"X2_25_12","Inf6"
"X2_21_12","Inf6"
"X2_22_13","Inf6"
"X2_23_13","Inf6"
"X2_21_13","Inf6"
"X2_24_13","Inf6"
"X2_25_13","Inf6"
"X2_23_14","Inf6"
"X2_22_14","Inf6"
