image	x_y	x	y	value
RA2_5	12_20	12	20	Infiltrate
RA2_5	22_20	22	20	Synovial stroma
RA2_5	19_26	19	26	Infiltrate
RA2_5	29_12	29	12	Synovial stroma
RA2_5	20_28	20	28	Synovial stroma
RA2_5	25_21	25	21	Synovial stroma
RA2_5	21_26	21	26	Synovial stroma
RA2_5	25_15	25	15	Infiltrate
RA2_5	17_12	17	12	Synovial stroma
RA2_5	23_21	23	21	Synovial stroma
RA2_5	18_25	18	25	Infiltrate
RA2_5	30_27	30	27	Synovial stroma
RA2_5	29_20	29	20	Synovial stroma
RA2_5	13_19	13	19	Infiltrate
RA2_5	19_21	19	21	Synovial stroma
RA2_5	19_13	19	13	Synovial stroma
RA2_5	26_25	26	25	Infiltrate
RA2_5	18_20	18	20	Synovial stroma
RA2_5	19_16	19	16	Synovial stroma
RA2_5	30_23	30	23	Synovial stroma
RA2_5	25_17	25	17	Infiltrate
RA2_5	14_17	14	17	Infiltrate
RA2_5	30_25	30	25	Synovial stroma
RA2_5	14_22	14	22	Infiltrate
RA2_5	24_13	24	13	Synovial stroma
RA2_5	25_22	25	22	Synovial stroma
RA2_5	12_21	12	21	Infiltrate
RA2_5	18_26	18	26	Infiltrate
RA2_5	25_16	25	16	Infiltrate
RA2_5	32_14	32	14	Synovial stroma
RA2_5	14_18	14	18	Infiltrate
RA2_5	18_15	18	15	Synovial stroma
RA2_5	17_28	17	28	Infiltrate
RA2_5	17_13	17	13	Synovial stroma
RA2_5	20_13	20	13	Synovial stroma
RA2_5	26_28	26	28	Synovial stroma
RA2_5	16_26	16	26	Infiltrate
RA2_5	18_21	18	21	Infiltrate
RA2_5	28_18	28	18	Infiltrate
RA2_5	17_24	17	24	Infiltrate
RA2_5	29_13	29	13	Synovial stroma
RA2_5	32_22	32	22	Infiltrate
RA2_5	18_22	18	22	Infiltrate
RA2_5	25_18	25	18	Infiltrate
RA2_5	28_21	28	21	Synovial stroma
RA2_5	29_29	29	29	Unknown
RA2_5	15_21	15	21	Infiltrate;Synovial stroma
RA2_5	19_24	19	24	Synovial stroma
RA2_5	15_14	15	14	Synovial stroma
RA2_5	20_19	20	19	Synovial stroma
RA2_5	28_13	28	13	Synovial stroma
RA2_5	22_24	22	24	Synovial stroma
RA2_5	19_27	19	27	Infiltrate
RA2_5	15_13	15	13	Synovial stroma
RA2_5	24_17	24	17	Infiltrate;Synovial stroma
RA2_5	22_28	22	28	Synovial stroma
RA2_5	13_14	13	14	Synovial stroma
RA2_5	28_14	28	14	Synovial stroma
RA2_5	31_28	31	28	Unknown
RA2_5	24_15	24	15	Synovial stroma
RA2_5	30_24	30	24	Synovial stroma
RA2_5	25_20	25	20	Synovial stroma
RA2_5	21_23	21	23	Synovial stroma
RA2_5	24_14	24	14	Synovial stroma
RA2_5	25_19	25	19	Infiltrate
RA2_5	18_27	18	27	Infiltrate
RA2_5	23_16	23	16	Synovial stroma
RA2_5	31_26	31	26	Synovial stroma
RA2_5	28_25	28	25	Infiltrate
RA2_5	23_25	23	25	Infiltrate
RA2_5	25_14	25	14	Synovial stroma
RA2_5	27_14	27	14	Synovial stroma
RA2_5	14_19	14	19	Infiltrate
RA2_5	17_20	17	20	Synovial stroma
RA2_5	31_17	31	17	Synovial stroma
RA2_5	17_17	17	17	Synovial stroma
RA2_5	31_15	31	15	Synovial stroma
RA2_5	17_16	17	16	Synovial stroma
RA2_5	15_20	15	20	Infiltrate
RA2_5	21_13	21	13	Synovial stroma
RA2_5	17_21	17	21	Infiltrate
RA2_5	17_23	17	23	Infiltrate
RA2_5	31_25	31	25	Synovial stroma
RA2_5	27_27	27	27	Synovial stroma
RA2_5	26_19	26	19	Infiltrate
RA2_5	12_17	12	17	Infiltrate
RA2_5	22_27	22	27	Synovial stroma
RA2_5	14_13	14	13	Synovial stroma
RA2_5	17_25	17	25	Infiltrate
RA2_5	13_21	13	21	Infiltrate
RA2_5	29_27	29	27	Synovial stroma
RA2_5	24_22	24	22	Synovial stroma
RA2_5	12_18	12	18	Infiltrate
RA2_5	14_12	14	12	Synovial stroma
RA2_5	17_27	17	27	Infiltrate
RA2_5	12_19	12	19	Infiltrate
