image	x_y	x	y	value
2018DiamondCNO-308_C2	34_22	34	22	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	22_44	22	44	Unknown
2018DiamondCNO-308_C2	41_49	41	49	Synovial stroma
2018DiamondCNO-308_C2	51_33	51	33	Infiltrate;Synovial stroma
2018DiamondCNO-308_C2	16_54	16	54	Unknown
2018DiamondCNO-308_C2	12_36	12	36	Synovial stroma
2018DiamondCNO-308_C2	29_43	29	43	Synovial stroma
2018DiamondCNO-308_C2	47_23	47	23	Infiltrate
2018DiamondCNO-308_C2	22_18	22	18	Synovial stroma
2018DiamondCNO-308_C2	50_48	50	48	Unknown
2018DiamondCNO-308_C2	40_22	40	22	Synovial stroma
2018DiamondCNO-308_C2	51_47	51	47	Unknown
2018DiamondCNO-308_C2	44_18	44	18	Synovial stroma
2018DiamondCNO-308_C2	21_51	21	51	Synovial stroma
2018DiamondCNO-308_C2	39_33	39	33	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	6_30	6	30	Unknown
2018DiamondCNO-308_C2	18_56	18	56	Unknown
2018DiamondCNO-308_C2	34_48	34	48	Unknown
2018DiamondCNO-308_C2	14_52	14	52	Synovial stroma
2018DiamondCNO-308_C2	39_53	39	53	Unknown
2018DiamondCNO-308_C2	28_36	28	36	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	40_30	40	30	Synovial cell hyperplasia
2018DiamondCNO-308_C2	27_53	27	53	Synovial stroma
2018DiamondCNO-308_C2	38_22	38	22	Synovial stroma
2018DiamondCNO-308_C2	9_37	9	37	Unknown
2018DiamondCNO-308_C2	11_43	11	43	Infiltrate;Synovial stroma
2018DiamondCNO-308_C2	17_31	17	31	Synovial stroma
2018DiamondCNO-308_C2	46_30	46	30	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	39_15	39	15	Synovial stroma
2018DiamondCNO-308_C2	9_47	9	47	Unknown
2018DiamondCNO-308_C2	35_49	35	49	Unknown
2018DiamondCNO-308_C2	41_31	41	31	Synovial cell hyperplasia
2018DiamondCNO-308_C2	26_24	26	24	Synovial stroma
2018DiamondCNO-308_C2	6_26	6	26	Unknown
2018DiamondCNO-308_C2	49_39	49	39	Unknown
2018DiamondCNO-308_C2	43_43	43	43	Synovial stroma
2018DiamondCNO-308_C2	44_50	44	50	Infiltrate
2018DiamondCNO-308_C2	44_26	44	26	Synovial stroma
2018DiamondCNO-308_C2	29_21	29	21	Synovial stroma
2018DiamondCNO-308_C2	35_23	35	23	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	42_14	42	14	Unknown
2018DiamondCNO-308_C2	47_35	47	35	Synovial cell hyperplasia
2018DiamondCNO-308_C2	19_21	19	21	Synovial stroma
2018DiamondCNO-308_C2	45_31	45	31	Synovial stroma
2018DiamondCNO-308_C2	31_41	31	41	Synovial stroma
2018DiamondCNO-308_C2	22_14	22	14	Unknown
2018DiamondCNO-308_C2	16_26	16	26	Synovial stroma
2018DiamondCNO-308_C2	33_39	33	39	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	27_41	27	41	Synovial stroma
2018DiamondCNO-308_C2	40_18	40	18	Synovial stroma
2018DiamondCNO-308_C2	18_18	18	18	Synovial cell hyperplasia
2018DiamondCNO-308_C2	16_22	16	22	Synovial stroma
2018DiamondCNO-308_C2	27_13	27	13	Synovial cell hyperplasia
2018DiamondCNO-308_C2	53_35	53	35	Unknown
2018DiamondCNO-308_C2	22_26	22	26	Synovial stroma
2018DiamondCNO-308_C2	21_29	21	29	Synovial stroma
2018DiamondCNO-308_C2	35_45	35	45	Unknown
2018DiamondCNO-308_C2	39_35	39	35	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	50_28	50	28	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	37_21	37	21	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	34_12	34	12	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	13_45	13	45	Synovial stroma
2018DiamondCNO-308_C2	45_51	45	51	Synovial stroma
2018DiamondCNO-308_C2	41_35	41	35	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	40_32	40	32	Synovial stroma
2018DiamondCNO-308_C2	46_34	46	34	Synovial cell hyperplasia
2018DiamondCNO-308_C2	4_40	4	40	Unknown
2018DiamondCNO-308_C2	37_39	37	39	Synovial stroma
2018DiamondCNO-308_C2	11_39	11	39	Unknown
2018DiamondCNO-308_C2	26_46	26	46	Synovial stroma
2018DiamondCNO-308_C2	39_17	39	17	Synovial stroma
2018DiamondCNO-308_C2	42_32	42	32	Synovial stroma
2018DiamondCNO-308_C2	42_18	42	18	Infiltrate
2018DiamondCNO-308_C2	46_46	46	46	Unknown
2018DiamondCNO-308_C2	47_45	47	45	Unknown
2018DiamondCNO-308_C2	43_41	43	41	Synovial stroma
2018DiamondCNO-308_C2	27_25	27	25	Synovial stroma
2018DiamondCNO-308_C2	11_47	11	47	Infiltrate;Synovial stroma
2018DiamondCNO-308_C2	53_45	53	45	Synovial stroma
2018DiamondCNO-308_C2	33_19	33	19	Synovial stroma
2018DiamondCNO-308_C2	44_36	44	36	Synovial stroma
2018DiamondCNO-308_C2	5_45	5	45	Unknown
2018DiamondCNO-308_C2	47_37	47	37	Unknown
2018DiamondCNO-308_C2	24_22	24	22	Synovial stroma
2018DiamondCNO-308_C2	29_51	29	51	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	21_39	21	39	Synovial stroma
2018DiamondCNO-308_C2	33_45	33	45	Unknown
2018DiamondCNO-308_C2	40_12	40	12	Infiltrate;Synovial stroma
2018DiamondCNO-308_C2	6_34	6	34	Unknown
2018DiamondCNO-308_C2	38_34	38	34	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	16_46	16	46	Unknown
2018DiamondCNO-308_C2	35_35	35	35	Synovial stroma
2018DiamondCNO-308_C2	14_28	14	28	Synovial stroma
2018DiamondCNO-308_C2	20_46	20	46	Synovial stroma
2018DiamondCNO-308_C2	32_36	32	36	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	30_30	30	30	Synovial stroma
2018DiamondCNO-308_C2	48_40	48	40	Unknown
2018DiamondCNO-308_C2	4_34	4	34	Unknown
2018DiamondCNO-308_C2	46_22	46	22	Unknown
2018DiamondCNO-308_C2	39_39	39	39	Synovial stroma
2018DiamondCNO-308_C2	17_23	17	23	Synovial stroma
2018DiamondCNO-308_C2	48_34	48	34	Synovial stroma
2018DiamondCNO-308_C2	34_44	34	44	Synovial stroma;Unknown
2018DiamondCNO-308_C2	55_49	55	49	Unknown
2018DiamondCNO-308_C2	55_47	55	47	Unknown
2018DiamondCNO-308_C2	48_30	48	30	Synovial stroma
2018DiamondCNO-308_C2	38_18	38	18	Synovial stroma
2018DiamondCNO-308_C2	56_50	56	50	Unknown
2018DiamondCNO-308_C2	5_41	5	41	Unknown
2018DiamondCNO-308_C2	14_44	14	44	Synovial cell hyperplasia
2018DiamondCNO-308_C2	32_40	32	40	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	51_45	51	45	Unknown
2018DiamondCNO-308_C2	10_28	10	28	Unknown
2018DiamondCNO-308_C2	40_26	40	26	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	49_33	49	33	Infiltrate;Synovial stroma
2018DiamondCNO-308_C2	33_23	33	23	Collagenous/Adipose tissue
2018DiamondCNO-308_C2	29_11	29	11	Synovial cell hyperplasia
2018DiamondCNO-308_C2	33_41	33	41	Synovial stroma
2018DiamondCNO-308_C2	10_40	10	40	Unknown
2018DiamondCNO-308_C2	16_44	16	44	Unknown
