image	x_y	x	y	value
RA2_6	21_20	21	20	Synovial stroma
RA2_6	17_21	17	21	Synovial stroma
RA2_6	24_22	24	22	Infiltrate
RA2_6	22_20	22	20	Synovial stroma
RA2_6	28_13	28	13	Synovial stroma
RA2_6	28_16	28	16	Synovial stroma
RA2_6	14_25	14	25	Infiltrate
RA2_6	11_10	11	10	Synovial stroma
RA2_6	22_10	22	10	Synovial stroma
RA2_6	12_19	12	19	Infiltrate;Synovial stroma
RA2_6	30_22	30	22	Synovial stroma
RA2_6	17_25	17	25	Synovial stroma
RA2_6	15_11	15	11	Synovial stroma
RA2_6	12_20	12	20	Synovial stroma
RA2_6	20_10	20	10	Synovial stroma
RA2_6	25_19	25	19	Synovial stroma
RA2_6	23_22	23	22	Synovial stroma
RA2_6	19_23	19	23	Infiltrate
RA2_6	30_16	30	16	Synovial stroma
RA2_6	21_19	21	19	Synovial stroma
RA2_6	27_15	27	15	Synovial stroma
RA2_6	18_16	18	16	Synovial stroma
RA2_6	11_20	11	20	Infiltrate
RA2_6	23_13	23	13	Infiltrate
RA2_6	13_11	13	11	Synovial stroma
RA2_6	22_22	22	22	Infiltrate
RA2_6	15_18	15	18	Infiltrate
RA2_6	20_24	20	24	Infiltrate
RA2_6	14_17	14	17	Synovial stroma
RA2_6	12_17	12	17	Infiltrate
RA2_6	15_19	15	19	Infiltrate
RA2_6	10_20	10	20	Infiltrate
RA2_6	13_25	13	25	Infiltrate
RA2_6	22_8	22	8	Synovial stroma
RA2_6	9_11	9	11	Synovial stroma
RA2_6	27_16	27	16	Synovial stroma
RA2_6	10_16	10	16	Infiltrate
RA2_6	14_23	14	23	Infiltrate
RA2_6	22_15	22	15	Infiltrate
RA2_6	15_12	15	12	Synovial stroma
RA2_6	20_19	20	19	Synovial stroma
RA2_6	27_9	27	9	Synovial stroma
RA2_6	26_23	26	23	Infiltrate
RA2_6	12_15	12	15	Infiltrate
RA2_6	11_23	11	23	Synovial stroma
RA2_6	30_13	30	13	Synovial stroma
RA2_6	15_25	15	25	Infiltrate
RA2_6	24_12	24	12	Infiltrate
RA2_6	20_25	20	25	Synovial stroma
RA2_6	18_26	18	26	Synovial stroma
RA2_6	27_17	27	17	Synovial stroma
RA2_6	24_9	24	9	Synovial stroma
RA2_6	14_12	14	12	Synovial stroma
RA2_6	21_24	21	24	Infiltrate
RA2_6	29_13	29	13	Synovial stroma
RA2_6	16_21	16	21	Synovial stroma
RA2_6	21_26	21	26	Synovial stroma
RA2_6	22_23	22	23	Infiltrate
RA2_6	32_17	32	17	Synovial stroma
RA2_6	10_18	10	18	Infiltrate
RA2_6	21_15	21	15	Infiltrate
RA2_6	21_11	21	11	Synovial stroma
RA2_6	22_11	22	11	Infiltrate
RA2_6	24_13	24	13	Infiltrate
RA2_6	31_16	31	16	Synovial stroma
RA2_6	17_22	17	22	Synovial stroma
RA2_6	25_23	25	23	Infiltrate
RA2_6	25_10	25	10	Synovial stroma
RA2_6	25_25	25	25	Synovial stroma
RA2_6	14_9	14	9	Synovial stroma
RA2_6	13_10	13	10	Synovial stroma
RA2_6	12_16	12	16	Infiltrate
RA2_6	26_16	26	16	Synovial stroma
RA2_6	18_17	18	17	Synovial stroma
RA2_6	31_17	31	17	Synovial stroma
RA2_6	27_12	27	12	Synovial stroma
RA2_6	25_12	25	12	Infiltrate
RA2_6	11_16	11	16	Infiltrate
RA2_6	31_15	31	15	Synovial stroma
RA2_6	12_24	12	24	Infiltrate
RA2_6	13_9	13	9	Synovial stroma
RA2_6	15_14	15	14	Synovial stroma
RA2_6	23_10	23	10	Infiltrate
RA2_6	28_10	28	10	Synovial stroma
RA2_6	24_14	24	14	Infiltrate
RA2_6	21_12	21	12	Synovial stroma
RA2_6	28_18	28	18	Infiltrate
RA2_6	25_16	25	16	Synovial stroma
RA2_6	10_21	10	21	Infiltrate
RA2_6	24_23	24	23	Infiltrate
RA2_6	20_21	20	21	Synovial stroma
RA2_6	9_16	9	16	Infiltrate
RA2_6	20_16	20	16	Synovial stroma
RA2_6	13_14	13	14	Infiltrate
RA2_6	21_23	21	23	Infiltrate
RA2_6	14_10	14	10	Synovial stroma
RA2_6	28_22	28	22	Synovial stroma
RA2_6	32_18	32	18	Synovial stroma
RA2_6	11_14	11	14	Infiltrate
RA2_6	26_8	26	8	Synovial stroma
RA2_6	14_16	14	16	Synovial stroma
RA2_6	32_20	32	20	Synovial stroma
RA2_6	22_19	22	19	Synovial stroma
RA2_6	18_11	18	11	Synovial stroma
RA2_6	15_16	15	16	Synovial stroma
RA2_6	12_18	12	18	Infiltrate
RA2_6	30_19	30	19	Infiltrate
RA2_6	25_9	25	9	Synovial stroma
RA2_6	14_21	14	21	Infiltrate
RA2_6	13_24	13	24	Infiltrate
RA2_6	13_18	13	18	Synovial stroma
RA2_6	20_15	20	15	Synovial stroma
RA2_6	30_12	30	12	Synovial stroma
RA2_6	26_9	26	9	Synovial stroma
RA2_6	15_20	15	20	Infiltrate
RA2_6	15_9	15	9	Synovial stroma
RA2_6	12_25	12	25	Infiltrate
RA2_6	25_11	25	11	Infiltrate
RA2_6	15_24	15	24	Infiltrate
RA2_6	26_20	26	20	Synovial stroma
RA2_6	21_17	21	17	Synovial stroma
RA2_6	23_25	23	25	Synovial stroma
RA2_6	18_23	18	23	Synovial stroma
RA2_6	10_15	10	15	Infiltrate
RA2_6	20_11	20	11	Synovial stroma
RA2_6	25_13	25	13	Infiltrate
RA2_6	14_22	14	22	Infiltrate
RA2_6	22_14	22	14	Infiltrate
RA2_6	21_18	21	18	Synovial stroma
RA2_6	19_26	19	26	Synovial stroma
RA2_6	11_19	11	19	Infiltrate
RA2_6	27_13	27	13	Synovial stroma
RA2_6	20_23	20	23	Infiltrate
RA2_6	19_19	19	19	Synovial stroma
RA2_6	14_18	14	18	Synovial stroma
RA2_6	13_21	13	21	Infiltrate
RA2_6	21_21	21	21	Synovial stroma
RA2_6	19_14	19	14	Synovial stroma
RA2_6	19_21	19	21	Synovial stroma
RA2_6	26_11	26	11	Infiltrate;Synovial stroma
RA2_6	25_14	25	14	Infiltrate
RA2_6	28_12	28	12	Synovial stroma
RA2_6	18_18	18	18	Synovial stroma
RA2_6	9_12	9	12	Synovial stroma
RA2_6	29_21	29	21	Synovial stroma
RA2_6	11_21	11	21	Infiltrate
RA2_6	23_18	23	18	Synovial stroma
RA2_6	30_23	30	23	Synovial stroma
RA2_6	13_20	13	20	Infiltrate
RA2_6	12_23	12	23	Infiltrate
RA2_6	17_17	17	17	Synovial stroma
RA2_6	29_16	29	16	Synovial stroma
RA2_6	13_12	13	12	Synovial stroma
RA2_6	26_21	26	21	Synovial stroma
RA2_6	22_9	22	9	Synovial stroma
RA2_6	11_18	11	18	Infiltrate
RA2_6	12_22	12	22	Infiltrate
RA2_6	12_12	12	12	Synovial stroma
RA2_6	19_13	19	13	Synovial stroma
RA2_6	17_16	17	16	Synovial stroma
RA2_6	19_18	19	18	Synovial stroma
RA2_6	19_10	19	10	Synovial stroma
RA2_6	29_17	29	17	Synovial stroma
RA2_6	16_26	16	26	Synovial stroma
RA2_6	27_10	27	10	Synovial stroma
RA2_6	28_20	28	20	Infiltrate
RA2_6	17_14	17	14	Synovial stroma
RA2_6	17_19	17	19	Synovial stroma
RA2_6	13_22	13	22	Infiltrate
RA2_6	22_16	22	16	Infiltrate
RA2_6	9_17	9	17	Infiltrate
RA2_6	26_17	26	17	Synovial stroma
RA2_6	23_19	23	19	Synovial stroma
RA2_6	32_15	32	15	Synovial stroma
RA2_6	24_17	24	17	Synovial stroma
RA2_6	32_16	32	16	Synovial stroma
RA2_6	20_17	20	17	Synovial stroma
RA2_6	21_13	21	13	Infiltrate;Synovial stroma
RA2_6	10_19	10	19	Infiltrate
RA2_6	14_24	14	24	Infiltrate
RA2_6	19_11	19	11	Synovial stroma
RA2_6	19_25	19	25	Synovial stroma
RA2_6	16_11	16	11	Synovial stroma
RA2_6	19_17	19	17	Synovial stroma
RA2_6	14_13	14	13	Synovial stroma
RA2_6	21_9	21	9	Synovial stroma
RA2_6	17_12	17	12	Synovial stroma
RA2_6	24_15	24	15	Infiltrate
RA2_6	16_14	16	14	Synovial stroma
RA2_6	29_15	29	15	Synovial stroma
RA2_6	12_10	12	10	Synovial stroma
RA2_6	30_21	30	21	Synovial stroma
RA2_6	25_22	25	22	Infiltrate
RA2_6	23_21	23	21	Synovial stroma
RA2_6	24_20	24	20	Synovial stroma
RA2_6	16_20	16	20	Synovial stroma
