"","infiltrate"
"X7_9_14","Inf1"
"X7_10_15","Inf1"
"X7_9_15","Inf1"
"X7_10_16","Inf1"
"X7_9_16","Inf1"
"X7_9_17","Inf1"
"X7_8_17","Inf1"
"X7_9_18","Inf1"
"X7_8_18","Inf1"
"X7_7_18","Inf1"
"X7_9_19","Inf1"
"X7_8_19","Inf1"
"X7_7_19","Inf1"
"X7_9_20","Inf1"
"X7_7_20","Inf1"
"X7_8_20","Inf1"
"X7_7_21","Inf1"
"X7_8_21","Inf1"
"X7_8_22","Inf1"
"X7_12_19","Inf2"
"X7_12_20","Inf2"
"X7_11_21","Inf2"
"X7_12_21","Inf2"
"X7_11_22","Inf2"
"X7_12_22","Inf2"
"X7_10_22","Inf2"
"X7_13_22","Inf2"
"X7_11_23","Inf2"
"X7_10_23","Inf2"
"X7_13_23","Inf2"
"X7_12_23","Inf2"
"X7_11_24","Inf2"
"X7_10_24","Inf2"
"X7_12_24","Inf2"
"X7_14_24","Inf2"
"X7_13_24","Inf2"
"X7_11_25","Inf2"
"X7_14_25","Inf2"
"X7_12_25","Inf2"
"X7_13_25","Inf2"
"X7_19_22","Inf3"
"X7_17_22","Inf3"
"X7_18_22","Inf3"
"X7_18_23","Inf3"
"X7_17_23","Inf3"
"X7_19_23","Inf3"
"X7_22_20","Inf4"
"X7_21_20","Inf4"
"X7_20_20","Inf4"
"X7_22_21","Inf4"
"X7_21_21","Inf4"
"X7_20_21","Inf4"
"X7_22_22","Inf4"
"X7_26_17","Inf5"
"X7_25_17","Inf5"
"X7_24_17","Inf5"
"X7_26_18","Inf5"
"X7_25_18","Inf5"
"X7_24_18","Inf5"
"X7_26_19","Inf5"
"X7_25_19","Inf5"
"X7_20_11","Inf6"
"X7_21_11","Inf6"
"X7_22_12","Inf6"
"X7_21_12","Inf6"
"X7_20_12","Inf6"
"X7_19_12","Inf6"
"X7_22_13","Inf6"
"X7_21_13","Inf6"
"X7_20_13","Inf6"
"X7_19_13","Inf6"
"X7_18_13","Inf6"
"X7_21_14","Inf6"
"X7_18_14","Inf6"
"X7_19_14","Inf6"
"X7_20_14","Inf6"
"X7_18_15","Inf6"
"X7_19_15","Inf6"
"X7_19_16","Inf6"
"X7_18_16","Inf6"
