x,y,score,sample,section
188,5,28,0,RA2,Section1
189,5,29,0,RA2,Section1
190,5,30,0,RA2,Section1
191,5,31,0,RA2,Section1
192,5,32,0,RA2,Section1
193,5,33,0,RA2,Section1
194,5,34,0,RA2,Section1
195,5,35,0,RA2,Section1
196,5,36,NA,RA2,Section1
197,5,37,NA,RA2,Section1
198,5,38,NA,RA2,Section1
199,5,39,NA,RA2,Section1
200,5,40,NA,RA2,Section1
201,6,1,NA,RA2,Section1
202,6,2,0,RA2,Section1
203,6,3,0,RA2,Section1
204,6,4,0,RA2,Section1
205,6,5,0,RA2,Section1
206,6,6,0,RA2,Section1
207,6,7,0,RA2,Section1
208,6,8,0,RA2,Section1
209,6,9,0,RA2,Section1
210,6,10,0,RA2,Section1
211,6,11,0,RA2,Section1
212,6,12,0,RA2,Section1
213,6,13,0,RA2,Section1
214,6,14,0,RA2,Section1
215,6,15,0,RA2,Section1
216,6,16,0,RA2,Section1
217,6,17,0,RA2,Section1
218,6,18,0,RA2,Section1
219,6,19,0,RA2,Section1
220,6,20,0,RA2,Section1
221,6,21,0,RA2,Section1
222,6,22,0.0666080610843274,RA2,Section1
223,6,23,0.0666080610843412,RA2,Section1
224,6,24,0,RA2,Section1
225,6,25,0,RA2,Section1
226,6,26,0,RA2,Section1
227,6,27,0,RA2,Section1
228,6,28,0,RA2,Section1
229,6,29,0,RA2,Section1
230,6,30,0,RA2,Section1
231,6,31,0.064980297848765,RA2,Section1
232,6,32,0.0649802978487783,RA2,Section1
233,6,33,0,RA2,Section1
234,6,34,0,RA2,Section1
235,6,35,0.074587541520918,RA2,Section1
236,6,36,0.0745875415209319,RA2,Section1
237,6,37,NA,RA2,Section1
238,6,38,NA,RA2,Section1
239,6,39,NA,RA2,Section1
240,6,40,NA,RA2,Section1
241,7,1,NA,RA2,Section1
242,7,2,0,RA2,Section1
243,7,3,0,RA2,Section1
244,7,4,0,RA2,Section1
245,7,5,0,RA2,Section1
246,7,6,0,RA2,Section1
247,7,7,0,RA2,Section1
248,7,8,0,RA2,Section1
249,7,9,0,RA2,Section1
250,7,10,0,RA2,Section1
251,7,11,0,RA2,Section1
252,7,12,0,RA2,Section1
253,7,13,0,RA2,Section1
254,7,14,0,RA2,Section1
255,7,15,0,RA2,Section1
256,7,16,0,RA2,Section1
257,7,17,0,RA2,Section1
258,7,18,0,RA2,Section1
259,7,19,0,RA2,Section1
260,7,20,0,RA2,Section1
261,7,21,0,RA2,Section1
262,7,22,0.399648366506805,RA2,Section1
263,7,23,0.599472549759917,RA2,Section1
264,7,24,0.0999120916264434,RA2,Section1
265,7,25,0,RA2,Section1
266,7,26,0,RA2,Section1
267,7,27,0,RA2,Section1
268,7,28,0,RA2,Section1
269,7,29,0,RA2,Section1
270,7,30,0,RA2,Section1
271,7,31,0.194940893546476,RA2,Section1
272,7,32,0.584822680638924,RA2,Section1
273,7,33,0.292411340319293,RA2,Section1
274,7,34,0,RA2,Section1
275,7,35,0.447525249125409,RA2,Section1
276,7,36,0.671287873687842,RA2,Section1
277,7,37,NA,RA2,Section1
278,7,38,NA,RA2,Section1
279,7,39,NA,RA2,Section1
280,7,40,NA,RA2,Section1
281,8,1,NA,RA2,Section1
282,8,2,0,RA2,Section1
283,8,3,0,RA2,Section1
284,8,4,0,RA2,Section1
285,8,5,0,RA2,Section1
286,8,6,0,RA2,Section1
287,8,7,0,RA2,Section1
288,8,8,0,RA2,Section1
289,8,9,0,RA2,Section1
290,8,10,0,RA2,Section1
291,8,11,0,RA2,Section1
292,8,12,0,RA2,Section1
293,8,13,0,RA2,Section1
294,8,14,0,RA2,Section1
295,8,15,0,RA2,Section1
296,8,16,0,RA2,Section1
297,8,17,0,RA2,Section1
298,8,18,0,RA2,Section1
299,8,19,0,RA2,Section1
300,8,20,0,RA2,Section1
301,8,21,0,RA2,Section1
302,8,22,0.399648366506796,RA2,Section1
303,8,23,1.09903300789348,RA2,Section1
304,8,24,0.632776580302029,RA2,Section1
305,8,25,0,RA2,Section1
306,8,26,0,RA2,Section1
307,8,27,0,RA2,Section1
308,8,28,0,RA2,Section1
309,8,29,0,RA2,Section1
310,8,30,0,RA2,Section1
311,8,31,0.194940893546466,RA2,Section1
312,8,32,0.877234020958531,RA2,Section1
313,8,33,0.812253723109448,RA2,Section1
314,8,34,0.129960595697399,RA2,Section1
315,8,35,0.447525249125398,RA2,Section1
316,8,36,1.23069443509446,RA2,Section1
317,8,37,0.466683360128885,RA2,Section1
318,8,38,NA,RA2,Section1
319,8,39,NA,RA2,Section1
320,8,40,NA,RA2,Section1
321,9,1,NA,RA2,Section1
322,9,2,0,RA2,Section1
323,9,3,0,RA2,Section1
324,9,4,0,RA2,Section1
325,9,5,0,RA2,Section1
326,9,6,0,RA2,Section1
327,9,7,0,RA2,Section1
328,9,8,0,RA2,Section1
329,9,9,0,RA2,Section1
330,9,10,0,RA2,Section1
331,9,11,0,RA2,Section1
332,9,12,0,RA2,Section1
333,9,13,0,RA2,Section1
334,9,14,0,RA2,Section1
335,9,15,0,RA2,Section1
336,9,16,0,RA2,Section1
337,9,17,0,RA2,Section1
338,9,18,0,RA2,Section1
339,9,19,0,RA2,Section1
340,9,20,0,RA2,Section1
341,9,21,0,RA2,Section1
342,9,22,0.0333040305424257,RA2,Section1
343,9,23,0.7326886719291,RA2,Section1
344,9,24,0.799296733013228,RA2,Section1
345,9,25,0.0999120916265399,RA2,Section1
346,9,26,0,RA2,Section1
347,9,27,1.09190434471884e-13,RA2,Section1
348,9,28,0.282498536737162,RA2,Section1
349,9,29,0.327726919975292,RA2,Section1
350,9,30,0.448335941943381,RA2,Section1
351,9,31,0.36997745524449,RA2,Section1
352,9,32,0.824521099119118,RA2,Section1
353,9,33,0.965120300124191,RA2,Section1
354,9,34,0.292411340319275,RA2,Section1
355,9,35,0.0372937707605587,RA2,Section1
356,9,36,0.820462956729609,RA2,Section1
357,9,37,1.06338369229581,RA2,Section1
358,9,38,NA,RA2,Section1
359,9,39,NA,RA2,Section1
360,9,40,NA,RA2,Section1
361,10,1,NA,RA2,Section1
362,10,2,0,RA2,Section1
363,10,3,0,RA2,Section1
364,10,4,0,RA2,Section1
365,10,5,0,RA2,Section1
366,10,6,0,RA2,Section1
367,10,7,0,RA2,Section1
368,10,8,0,RA2,Section1
369,10,9,0,RA2,Section1
370,10,10,0,RA2,Section1
371,10,11,0,RA2,Section1
372,10,12,0,RA2,Section1
373,10,13,0,RA2,Section1
374,10,14,0,RA2,Section1
375,10,15,0,RA2,Section1
376,10,16,0,RA2,Section1
377,10,17,0,RA2,Section1
378,10,18,0,RA2,Section1
379,10,19,0,RA2,Section1
380,10,20,0,RA2,Section1
381,10,21,0,RA2,Section1
382,10,22,0,RA2,Section1
383,10,23,0.199824183253515,RA2,Section1
384,10,24,0.399648366506733,RA2,Section1
385,10,25,0.0999120916265498,RA2,Section1
386,10,26,0,RA2,Section1
387,10,27,1.01474384450739e-13,RA2,Section1
388,10,28,0.539315388316529,RA2,Section1
389,10,29,0.738633882502093,RA2,Section1
390,10,30,1.05523256516848,RA2,Section1
391,10,31,1.02210246170758,RA2,Section1
392,10,32,0.747847758261801,RA2,Section1
393,10,33,0.888446959266892,RA2,Section1
394,10,34,0.292411340319284,RA2,Section1
395,10,35,0,RA2,Section1
396,10,36,0.223762624562688,RA2,Section1
397,10,37,0.765033526212565,RA2,Section1
398,10,38,NA,RA2,Section1
399,10,39,NA,RA2,Section1
400,10,40,NA,RA2,Section1
401,11,1,NA,RA2,Section1
402,11,2,0,RA2,Section1
403,11,3,0,RA2,Section1
404,11,4,0,RA2,Section1
405,11,5,0,RA2,Section1
406,11,6,0,RA2,Section1
407,11,7,0,RA2,Section1
408,11,8,0,RA2,Section1
409,11,9,0,RA2,Section1
410,11,10,0,RA2,Section1
411,11,11,0,RA2,Section1
412,11,12,0,RA2,Section1
413,11,13,0,RA2,Section1
414,11,14,0,RA2,Section1
415,11,15,0,RA2,Section1
416,11,16,0.11453002762715,RA2,Section1
417,11,17,0.152706703502622,RA2,Section1
418,11,18,0,RA2,Section1
419,11,19,0,RA2,Section1
420,11,20,0.102776029073787,RA2,Section1
421,11,21,0.102776029073797,RA2,Section1
422,11,22,0.0461303795984236,RA2,Section1
423,11,23,0.0461303795984283,RA2,Section1
424,11,24,0,RA2,Section1
425,11,25,0,RA2,Section1
426,11,26,0,RA2,Section1
427,11,27,0,RA2,Section1
428,11,28,0.43658864768482,RA2,Section1
429,11,29,1.00668287282641,RA2,Section1
430,11,30,1.34414672517966,RA2,Section1
431,11,31,1.40040395607162,RA2,Section1
432,11,32,1.12614925262565,RA2,Section1
433,11,33,0.830941953623929,RA2,Section1
434,11,34,0.249282586087083,RA2,Section1
435,11,35,0.0423807576280011,RA2,Section1
436,11,36,0.0423807576280051,RA2,Section1
437,11,37,0.23283940319746,RA2,Section1
438,11,38,0.6773509911198,RA2,Section1
439,11,39,NA,RA2,Section1
440,11,40,NA,RA2,Section1
441,12,1,NA,RA2,Section1
442,12,2,0,RA2,Section1
443,12,3,0,RA2,Section1
444,12,4,0,RA2,Section1
445,12,5,0,RA2,Section1
446,12,6,0,RA2,Section1
447,12,7,0,RA2,Section1
448,12,8,0,RA2,Section1
449,12,9,0,RA2,Section1
450,12,10,0,RA2,Section1
451,12,11,0,RA2,Section1
452,12,12,0,RA2,Section1
453,12,13,0,RA2,Section1
454,12,14,0,RA2,Section1
455,12,15,0,RA2,Section1
456,12,16,0.114530027627137,RA2,Section1
457,12,17,0.763533517513762,RA2,Section1
458,12,18,0.534473462259538,RA2,Section1
459,12,19,0,RA2,Section1
460,12,20,0.231246065416252,RA2,Section1
461,12,21,0.513880145369265,RA2,Section1
462,12,22,0.343943196942994,RA2,Section1
463,12,23,0.230651897992231,RA2,Section1
464,12,24,0.0576629744980166,RA2,Section1
465,12,25,0,RA2,Section1
466,12,26,0,RA2,Section1
467,12,27,0,RA2,Section1
468,12,28,0.0256816851580064,RA2,Section1
469,12,29,0.595775910299594,RA2,Section1
470,12,30,1.2670824776441,RA2,Section1
471,12,31,1.27757660923634,RA2,Section1
472,12,32,0.682980210692819,RA2,Section1
473,12,33,0.526263237295176,RA2,Section1
474,12,34,0.249282586087093,RA2,Section1
475,12,35,0.127142272883966,RA2,Section1
476,12,36,0.211903788139896,RA2,Section1
477,12,37,0.0529759470349513,RA2,Section1
478,12,38,0.338675495559904,RA2,Section1
479,12,39,NA,RA2,Section1
480,12,40,NA,RA2,Section1
481,13,1,NA,RA2,Section1
482,13,2,0,RA2,Section1
483,13,3,0,RA2,Section1
484,13,4,0,RA2,Section1
485,13,5,0,RA2,Section1
486,13,6,0,RA2,Section1
487,13,7,0,RA2,Section1
488,13,8,0,RA2,Section1
489,13,9,0,RA2,Section1
490,13,10,0,RA2,Section1
491,13,11,0,RA2,Section1
492,13,12,0,RA2,Section1
493,13,13,0,RA2,Section1
494,13,14,0,RA2,Section1
495,13,15,0,RA2,Section1
496,13,16,0.114530027627125,RA2,Section1
497,13,17,0.91624022101674,RA2,Section1
498,13,18,1.14530027627069,RA2,Section1
499,13,19,0.343590082881087,RA2,Section1
500,13,20,0.231246065416243,RA2,Section1
501,13,21,0.770820218054043,RA2,Section1
502,13,22,0.755047313238466,RA2,Section1
503,13,23,0.457657653492543,RA2,Section1
504,13,24,0.242184492891823,RA2,Section1
505,13,25,0,RA2,Section1
506,13,26,0,RA2,Section1
507,13,27,0,RA2,Section1
508,13,28,0,RA2,Section1
509,13,29,0.184868947772776,RA2,Section1
510,13,30,0.939636193865151,RA2,Section1
511,13,31,1.2005123617008,RA2,Section1
512,13,32,0.445745115608412,RA2,Section1
513,13,33,0.0830941953623386,RA2,Section1
514,13,34,0.0830941953623272,RA2,Section1
515,13,35,0.127142272883962,RA2,Section1
516,13,36,0.349641250430817,RA2,Section1
517,13,37,0.222498977546846,RA2,Section1
518,13,38,7.88258347483861e-15,RA2,Section1
519,13,39,NA,RA2,Section1
520,13,40,NA,RA2,Section1
521,14,1,NA,RA2,Section1
522,14,2,0,RA2,Section1
523,14,3,0.0432663819594798,RA2,Section1
524,14,4,0.187487655157706,RA2,Section1
525,14,5,0.100954891238729,RA2,Section1
526,14,6,0,RA2,Section1
527,14,7,0,RA2,Section1
528,14,8,0,RA2,Section1
529,14,9,0,RA2,Section1
530,14,10,0,RA2,Section1
531,14,11,0,RA2,Section1
532,14,12,0,RA2,Section1
533,14,13,0.353971494595427,RA2,Section1
534,14,14,0.353971494595427,RA2,Section1
535,14,15,0,RA2,Section1
536,14,16,0,RA2,Section1
537,14,17,0.419943434632819,RA2,Section1
538,14,18,0.992593572768204,RA2,Section1
539,14,19,0.458120110508298,RA2,Section1
540,14,20,0,RA2,Section1
541,14,21,0.436798123564022,RA2,Section1
542,14,22,0.668044188980166,RA2,Section1
543,14,23,0.384815941603033,RA2,Section1
544,14,24,0.276782277590674,RA2,Section1
545,14,25,0.0345977846988112,RA2,Section1
546,14,26,0,RA2,Section1
547,14,27,0,RA2,Section1
548,14,28,0,RA2,Section1
549,14,29,0,RA2,Section1
550,14,30,0.395354271762728,RA2,Section1
551,14,31,0.93447373325716,RA2,Section1
552,14,32,0.431295569195516,RA2,Section1
